абидныи,обидный
бадана,кольчуга
базаръ,рынок
баиборода,прозвище
баидана,кольчуга
баинѧ,баня
балиискъ,обаятельский
балка,бревно
бальныи,банный
бальство,лекарство
банити,мыть
баньныи,банный
баньскыи,банный
баньчия,банная
баня,баня
банѧ,баня
бара,болото
барашь,шатерничий
бархатити,бархатить
бархатъ,бархат
басмакъ,баскак
басманникъ,басманник
басненыи,сказочный
баснословиѥ,сказка
баснословиѥ,выдумка
баснотворениѥ,выдумка
басноумышлениѥ,выдумка
батати,колотить
батогъ,бич
батько,отец
батѧ,отец
бахматъ,конь
башмакъ,башмак
башьнѧ,башня
баяльникъ,ворожея
баяльница,ворожея
баянъ,обаятель
бебръ,бобр
бебрянъ,бобровый
бегеулъ,пристав
безазорьныи,неукоризненный
безаконениѥ,беззаконие
безакониѥ,беззаконие
безаконьникъ,беззаконник
безаконьница,беззаконница
безаконьно,незаконно
безаконьновати,беззаконствовать
безаконьныи,незаконный
безаконьнѣ,незаконно
безаконьство,беззаконие
безапьныи,неожиданный
безбаниѥ,небрезгливость
безблагодатьныи,неблагодарный
безблагодьникъ,неблагодарный
безблагодѣтиѥ,неблагодарность
безблажниѥ,несоблазняемость
безблазниѥ,несоблазняемость
безблазнь,несоблазняемость
безблазньныи,несоблазняемый
безблазньнѣ,беспрепятственно
безблазьныи,неразвлекающийся
безблудьно,безошибочно
безбогъ,безбожный
безбожьникъ,безбожник
безбожьныи,безбожный
безбожьскыи,безбожный
безбожьствиѥ,безбожность
безболѣзниѥ,безболезненность
безболѣзньныи,безболезненный
безбоязньныи,безбоязненный
безбоязньство,безбоязность
безбрадьнъ,безбородый
безбрачьныи,безбрачный
безбуриѥ,тишь
безбѣдныи,безопасный
безверемѧ,безвременье
безвещьныи,беззаботный
безвещьствиѥ,беззаботность
безвещьствьныи,невещественный
безвиньныи,невинный
безводьныи,безводный
безвратиѥ,неподвижность
безврѣдъ,невредимый
безврѣменьныи,злосчастный
безврѣменьнѣ,безвременный
безвьртьноѥ,неподвижность
безвѣди,незнание
безвѣньныи,бесприданный
безвѣриѥ,неверие
безвѣрьныи,неверный
безвѣстие,неизвестность
безвѣстьно,тайно
безвѣчьныи,увечный
безглавьныи,безголовый
безглагольныи,безмолвный
безгласиѥ,безмолвность
безгласьно,безгласно
безгласьныи,безгласный
безглѫмьныи,несмешной
безгнѣвиѥ,негневность
безгнѣвьливыи,безгневный
безгнѣвьныи,безгневный
безгодословьникъ,пустослов
безгодьниѥ,безгодность
безгодьныи,безвременный
безградьникъ,бездомный
безградьныи,бездомный
безгрѣшьныи,безгрешный
безгыбѣльныи,невредимый
бездомъкъ,бездомный
бездравлениѥ,безумие
бездушие,бездушие
бездушьныи,бездушный
бездъна,бездна
бездъная,бездна
бездъниѥ,бездна
бездъны,бездна
бездънь,бездна
бездъньная,бездна
бездѣвьствити,растлить
бездѣиствьныи,безработный
бездѣльно,праздно
бездѣльнѣ,невнимательно
бездѣтьныи,бездетный
безименьно,безымянно
безименьныи,безымянный
безимѣниѥ,бедность
безимѣньство,бедность
безлиствии,безлиственный
безльстьныи,безискусственный
безлюбьзныи,нелюбезный
безлѣпица,безумство
безлѣпиця,нелепица
безлѣпичьныи,нелепый
безлѣпыи,нелепый
безлѣтьно,безвременно
безлѣчьныи,неизлечимый
безмасльныи,безмаслянный
безмилованиѥ,немилосердие
безмилостивьныи,немилосердный
безмилостиѥ,немилосердие
безмилосьрдиѥ,немилосердие
безмужьныи,безмужный
безмутьныи,невозмущенный
безмълвиѥ,безмолвие
безмълвьство,спокойствие
безмьздь,безмездный
безмьздьныи,безмездный
безмьздьныи,безвозмездный
безмѣрьныи,безмерный
безмѧтежьнѣ,спокойно
безнадежиѥ,безнадежность
безнадежьно,безнадежно
безнадежьныи,безнадежный
безневѣстьная,безбрачная
безнедужьныи,безболезненный
безнравьныи,безнравный
безобразиѥ,безобразие
безобьдѧи,небогатый
безобьщеныи,отлученный
безоковати,слепнуть
безокъ,безглазый
безопасно,безопасно
безопытьныи,простой
безоружьныи,безоружный
безочивыи,безглазый
безочиѥ,безглазие
безочьствиѥ,нечестие
безочьствовати,бесстыдствовать
безрадостьныи,безрадостный
безрачьныи,невиданный
безродиѥ,бесплодие
безродьно,малодушно
безродьныи,неблагородный
безръпътивыи,безропотный
безръпътьныи,безропотный
безумливыи,безумный
безумль,безумный
безумовати,безумствовать
безумъ,безумие
безумьникъ,сумасшедший
безумьница,безумная
безумьновати,безумствовать
безумьныи,глупый
безупъваниѥ,безнадежность
безупъваньство,безнадежность
безуспѣшьныи,безуспешный
безълобивыи,незлобный
безълобиѥ,незлобие
безълобьно,незлобно
безълобьныи,незлобивый
безълобьство,незлобие
беленъ,белена
бельчюгъ,лук
бервьно,бревно
беревно,бревно
берегу,беречь
берегъ,берег
береженныи,охранный
бережистыи,крутобережный
бережиѥ,побережье
бережьныи,побережный
березникъ,березняк
березовыи,березовый
березозолъ,апрель
беремѧ,тюк
берлога,лес
бертъ,сосуд
бесилиѥ,бессилие
бесконьчьныи,безконечный
бескористьныи,бескорыстный
бескраиство,непогода
бескудьныи,достаточный
бескуньно,бесплатно
бесластиѥ,безвкусие
бесловествовати,безмолвствовать
беспагубьныи,нетленный
беспамѧтьныи,забытый
беспоставьныи,невоздержанный
бесприобьщеныи,отлученный
беспроходьныи,непроходимый
беспута,бездорожье
беспъваниѥ,смирение
бесрамьныи,бесстыдный
бестрашьныи,безопасный
бестьльство,нетленность
бестьля,нетленный
бестьляныи,нетленный
бестѣлесьныи,бестелесный
бесумьнѣныи,неусыпный
бесурманинъ,мусульманин
бесцѣныи,драгоценный
бесцѣнь,бесплатно
бесчастьныи,несчастный
бесчеловѣчениѥ,бесчеловечность
бесчеловѣчьныи,бесчеловечный
бесчинение,неприличный
бесчиньникъ,недостойный
бесчислиѥ,неисчислимое
бесчувьствьно,бесчувственно
бесчувьствьныи,бесчувственный
бесчьствовати,оскорблять
бесчьствьныи,оскорбительный
бесчьстивыи,нечестивый
бесчьстивьныи,нечестивый
бесъмирьныи,непримиримый
бесъньныи,неусыпный
бесѣдица,словцо
библиотека,библиотека
бивати,бить
биволъ,буйвол
бивьливыи,драчливый
бивьца,драчун
бивьць,бьющий
биица,драчун
билинчь,бой
бисьрѥ,бисер
бити,бить
битливыи,драчливый
бичь,кнут
бичьникъ,офицер
биѥниѥ,битье
благо,добро
благо,хорошо
благобоязнивыи,набожный
благобоязнь,набожность
благобоязньныи,набожный
благобоязньство,набожность
благобояти,набожный
благовазнивыи,счастливый
благовеликыи,великий
благовеселиѥ,радость
благовештиѥ,интеллект
благоволивыи,благодушный
благоволити,благоволить
благовольство,благоволение
благовольствьныи,благовольный
благовонениѥ,пахучесть
благовониѥ,благовоние
благовоньство,благовоние
благовоня,благовоние
благовоняти,благовонить
благоврѣменьныи,своевременный
благоврѣменьныи,своевременный
благовѣриѥ,благочестие
благовѣстиѥ,благовестие
благоглаголивыи,красноречивый
благоговѣньныи,благочестивый
благодаривыи,благодарный
благодаритисѧ,возблагодариться
благодаровати,благодарить
благодарьникъ,благодетель
благодарьныи,благодарный
благодарьнѣ,приятно
благодарьствити,благодарить
благодарьствиѥ,благодарность
благодарьствовати,благодарить
благодарьствьно,благодарно
благодарьць,благодарный
благодатель,благотворитель
благодательныи,благодетельный
благодательство,благодарность
благодатиѥ,благодать
благодать,благодать
благодатьникъ,благодетель
благодатьство,богатство
благодатьствовати,благодетельствовать
благодушиѥ,благодушие
благодушьно,благодушно
благодушьныи,благодушный
благодушьнѣ,радостно
благодушьство,благодушие
благодушьствовати,радоваться
благодьньство,благополучие
благодьрзновеньныи,смелый
благодѣиство,добродетель
благодѣтелевъ,благодетельный
благодѣть,благодать
благоизволениѥ,благоволение
благоизволениѥ,произволение
благоизволити,соизволить
благоизволити,благоволить
благоименитыи,славный
благокущьньство,убранство
благоличьныи,благообразный
благолюбивыи,доброжелательный
благолюбиѥ,доброжелательность
благолюбьныи,доброжелательный
благомилостивыи,милосердный
благомолитвьныи,молитвенный
благонадеждьныи,благонадежный
благонеизреченьнѣ,несказанно
благонравиѥ,добродетель
благонравьныи,благодетельный
благонравьство,добродетель
благообразиѥ,благоприличие
благообразьно,благоприлично
благообразьныи,благоприличный
благообразьнѣ,благоприличие
благопищьныи,питательный
благопокорениѥ,покорность
благопокорьныи,покорный
благопокорьство,покорность
благополучиѥ,благополучие
благопослушаниѥ,послушание
благопослушивыи,послушный
благопослушьно,послушно
благопослушьныи,послушный
благопоспѣшати,процветать
благопотрѣбьныи,полезный
благопохвалениѥ,восхваление
благопохвальныи,хвалебный
благоприбытъкъ,благоприобретение
благоприступаниѥ,служение
благопрѣспѣяниѥ,преуспеяние
благопрѣумъножити,увеличить
благоразумиѥ,благоразумие
благоразумьныи,благоразумный
благоразумьныи,мудрый
благорасудивыи,рассудительный
благородивыи,благородный
благородиѥ,благородство
благородьныи,благородный
благородьство,благородство
благородьство,доблесть
благорѣчивыи,красноречивый
благосвѣтьныи,добросовестный
благославиѥ,слава
благословениѥ,благословение
благословеныи,благословенный
благословествениѥ,благословение
благословествьныи,благословенный
благословестити,благословить
благословесьныи,благословенный
благословесьствовати,благовещать
благословиѥ,благословение
благословляти,благословлять
благословьствити,благословить
благоспѣшьныи,добровольный
благостояниѥ,благоденствие
благостыни,добродетель
благостыньныи,добродетельный
благость,добродетель
благостьныи,добродетельный
благосьрдыи,добросердечный
благота,благость
благотворениѥ,благодеяние
благотворити,благотворить
благотишьныи,тихий
благоугодити,угодить
благоугодьныи,угодный
благоудобиѥ,добродетель
благоукутаниѥ,благообразие
благоумьныи,мудрый
благоустроити,благоустраивать
благоутробиѥ,милосердие
благоухнути,благоухать
благоучьне,искусно
благохвалениѥ,восхваление
благочинениѥ,благоустройство
благочиньнѣ,благоприлично
благочьствованиѥ,благочестие
благочьстивыи,благочестивый
благочьстивьно,благочестиво
благочьстивьныи,благочестивый
благочьстьно,благочестно
благочьстьныи,благочестный
благочьстьнѣ,благочестно
благочьстьнѣ,благочестиво
благыни,доброта
блаженикъ,блаженный
блажениѥ,доброта
блаженыи,блаженный
блаженьствиѥ,блаженство
блаженьство,блаженство
блаженьствовати,блаженствовать
блажнениѥ,соблазн
блаздьныи,обиженный
блазнитель,обманщик
блазныи,опасный
блазньба,соблазн
блазовати,кичиться
блакотати,блеять
блатина,плотина
блато,болото
блекати,блеять
блехъчии,кузнец
блещаниѥ,плескание
блидивыи,опьяненный
ближениѥ,близость
ближичьство,приближенность
ближьневати,приближаться
ближьникъ,родственник
ближьныи,близкий
ближѣишии,ближайший
близна,рубец
близно,близко
близньць,близнец
близнѧ,близнецы
близу,близко
близъ,близость
блисканиѥ,блистание
блискати,блистать
блискати,сверкать
блискатисѧ,блистать
блискунъ,мак
блискъ,блеск
блистаница,лампада
блистаниѥ,блистание
блистати,блистать
блистати,сиять
блистатисѧ,блистать
блисцаниѥ,блеск
блудъ,проституция
блудьникъ,шлюха
блудьница,шлюха
блудьницинъ,шлюхин
блудьничьскыи,распутный
блудьно,распутно
блудьныи,распутный
блужениѥ,распутство
блъха,блоха
бльваниѥ,рвота
бльвотина,рвота
бльскати,сверкать
бльсковатисѧ,блестеть
бльснути,блеснуть
бльснутисѧ,блеснуть
бльстѣти,блестеть
бльщаниѥ,блеск
бльщаниѥ,блеск
бльщати,блестеть
бльщатисѧ,блестеть
блювотина,рвота
блюда,чаша
блюдва,корзина
блюдениѥ,наблюдение
блюдьница,блудница
блюстель,хранение
блюстисѧ,остерегаться
блющь,плющ
блѣдость,бледность
блѣдьныи,бледный
блѣдѣти,бледнеть
блѣщьныи,чистый
блѣяниѥ,блеяние
блѣяти,блеять
блѧдивыи,пустословный
блѧдовьствовати,заблуждаться
блѧдословити,хулить
блѧдьныи,вздорный
блѧдьня,прелюбодеяние
блѧдьство,невоздержанность
блѧсти,ошибаться
бобливыи,косноязычный
бобровыи,бобровый
бобръ,бобр
бобъ,боб
бобъ,бобы
богатити,обогощать
богатитисѧ,обогащаться
богатоподательныи,щедрый
богатыи,богатый
богатырьство,геройство
богатьно,обильно
богатьствиѥ,богатство
богатьство,богатство
богатѣти,богатеть
богобоивыи,богобоязненный
богобоиныи,богобоязненный
богобоязньство,богобоязнь
боговидьныи,богоподобный
богогласъ,боговдохновенный
богоизбраньныи,богоизбранный
боголишивыи,неразумный
боголишь,глупость
богомьрзкыи,богопротивный
богомьрзьныи,богопротивный
богоненавистьныи,богопротивный
богоненавистьныи,безбожный
богоотъметьныи,богопротивный
богоприятьныи,богоугодный
богопроповѣдьникъ,проповедник
богоратьныи,богоборный
богорожаница,богородительница
богословиѥ,богословие
богословъ,богослов
богословьныи,богослова
богословьскы,богослова
богословьць,богослов
богостудьныи,богопротивнвый
богосъмышлениѥ,пророчество
богосъпасьныи,богоспасаемый
боготворити,боготворить
богочьстиѥ,богопочитание
богыни,богиня
бодавыи,бодливый
бодана,кольчуга
бодливыи,бодливый
бодль,шип
боевьникъ,убийца
божениѥ,божба
боженка,божница
божити,боготворить
божуръ,шафран
божьница,церковь
божьничныи,церковный
божьскыи,божеский
божьствовати,боготворить
божьствьныи,божественный
боиливыи,драчливый
боканъ,камень
болеръ,боярин
болестиныи,болезненный
болесть,болезнь
болии,больший
болкатъ,черный
болого,добро
бологодѣть,дар
болото,болото
боль,больной
бользнь,недуг
больница,больница
больныи,больной
больныи,страждущий
больши,больше
боляринъ,боярин
болярыня,боярыня
болярьскыи,боярский
болѣдина,больной
болѣждь,больной
болѣзнивыи,болезненный
болѣзнина,больной
болѣзниныи,мучительный
болѣзновати,болеть
болѣзнолюбьць,трудолюбец
болѣзныи,больной
болѣзньновати,страдать
болѣиши,лучше
болѣниѥ,болезнь
болѣти,страдать
болѧринъ,боярин
боритель,борец
боритель,враг
борити,бороть
бородатыи,бородатый
бородьныи,бородатый
борозда,борозда
борона,борона
боронитисѧ,защищаться
боротелевъ,гонителя
бороти,воевать
боротисѧ,бороться
борсуковыи,борсуковый
борсукъ,барсук
бортьникъ,пасечник
бортьныи,пасечный
боръ,ячмень
борь,борьба
борьба,борьба
борьць,воин
бости,бодать
бостисѧ,сражаться
босъ,дьявол
босыи,босой
бохмичь,магометский
бочижь,бочка
бочьныи,боковой
боязливыи,боящийся
боязнивыи,боящийся
боязнь,страх
бояниѥ,боязнь
боярыни,боярыня
боярьскыи,боярский
боярьство,боярство
боятися,бояться
брага,брага
брада,борода
брадатыи,бородатый
брадица,бородка
брады,секира
брадьныи,бородатый
бранитисѧ,тягаться
бранитисѧ,ссориться
браньныи,военный
браньскыи,военный
брататисѧ,брататься
братеникъ,брат
братеничь,брат
братеньскыи,братский
брати,воевать
братиискыи,братский
братитисѧ,брататься
братобоиство,братоубийство
братолюбьць,братолюбец
братоубииство,братоубийство
братоубииствьныи,братоубийственный
братоубиица,братоубийца
братоубииць,братоубийца
братръ,брат
братъ,брат
братьнь,братов
братьньць,брат
братьскы,братья
братьскыи,братский
братьство,братство
братьство,равенство
братьць,брат
брачениѥ,свадьба
брачиньныи,шелковый
брачити,женить
брачитися,жениться
брачьныи,свадебный
брачьство,брак
брашьненица,амбар
бреханиѥ,лай
бридыи,жестокий
бритва,бритва
бритвити,брить
брити,брить
бричь,бритва
бродитисѧ,бродить
брусиѥ,брусья
бръвь,бревно
бръвьно,вражда
бръвьно,бревно
бръдоква,латук
бръдъ,брод
бръзда,намордник
бръздь,намордник
бръснути,брить
брынецъ,рис
брьвь,бревно
брьвьно,бревно
брьньныи,бренный
брьселиѥ,кирпич
брьселяныи,кирпичный
брюхо,живот
брюхъ,живот
брѣговитыи,гористый
брѣдоква,латук
брѣза,береза
брѣзгати,брезговать
брѣзговати,брезговать
брѣзгъ,рассвет
брѣздовати,обуздывать
брѣзозоръ,апрель
брѣзьнъ,апрель
брѣстиѥ,вязы
брѣстовыи,вязовый
брѧздати,бряцать
брѧцаниѥ,бряцание
брѧцати,звучать
брѧчати,жужжать
бубрѣгъ,почка
бубънъ,бубен
бубьньныи,бубенный
буволица,буйволица
буволъ,буйвол
буволь,буйволовый
бугаи,бык
бугъ,обручь
буда,плетенка
будеи,нож
будити,будить
буи,могила
буиволовъ,буйвола
буино,буйно
буиныи,буйный
букарь,букварь
букъ,шум
букъ,бук
булатьныи,булатный
бумага,бумага
бумажка,бумажка
бунтъ,бунт
буравьць,сверлышко
буркгимистръ,бургомистр
бурыи,бурый
бурьныи,бурный
буря,буря
бусурманъ,мусульманин
бучаниѥ,ворчание
бучати,реветь
бучити,реветь
буявыи,глупый
буѥсловиѥ,пустословие
буѥство,буйство
бъбиовыи,фиалковый
бъдрити,бодтить
бъдрость,бодрость
бъдрьливыи,бодрый
бъдрьно,бодро
бъдрьныи,бодрый
бъдѣниѥ,бдение
бъдѣти,бдеть
бъждрениѥ,бодрость
бъждрета,бодрость
бъждрии,бодрый
бълъваньникъ,идолопоклонник
бълъваньць,столб
бързо,скоро
бързость,скорость
бързота,скорость
бъртьничии,бортника
бъчела,пчела
бъчелинъ,пчелиный
бъчельныи,пчелиный
бъчьвь,бочка
бъчька,бочка
бываниѥ,существование
быкъ,бык
былина,былина
быль,трава
быль,вельможа
быльныи,травяной
быраниѥ,скитание
быстро,быстро
быстрость,быстрота
быстрыи,быстрый
бытиискыи,житейский
бытиѥ,существование
быть,бытие
бытьныи,житейский
бычии,бычий
бышьныи,бышный
бьрьвьно,бревно
бѣганиѥ,бег
бѣглянинъ,беглец
бѣгство,бегство
бѣгуль,бегеул
бѣгъ,бегство
бѣдити,убеждать
бѣдьница,несчастная
бѣдьно,трудно
бѣдьство,опасность
бѣжанинъ,беглец
бѣжлянинъ,беглец
бѣжьство,бегство
бѣла,белка
бѣласыи,белесый
бѣлии,беличий
бѣлило,белило
бѣлильникъ,белильщик
бѣлити,белить
бѣлка,белка
бѣло,чисто
бѣлоризьць,мирянин
бѣлотъкъ,белок
бѣлыи,белый
бѣль,белило
бѣль,белка
бѣльмо,бельмо
бѣльць,мирянин
бѣльчии,белильщик
бѣльчии,мирской
бѣлѣтисѧ,белеть
бѣня,баня
бѣситисѧ,беситься
бѣсовьныи,бесовской
бѣсовьскыи,бесовской
бѣсовьствиѥ,идолопоклонство
бѣсовьѥ,бесы
бѣсомольць,идолопоклонник
бѣсослужениѥ,идолопоклонство
бѣство,бегство
бѣшеныи,бешенный
бѣшеньство,бешенство
бѣщи,беги
вабити,приглашать
вабитисѧ,приглашаться
ваблѥниѥ,приглашение
вага,вес
ваганьныи,взвешиваемый
вадити,водить
вадъ,ад
вадьба,клевета
вадьбьныи,клеветнический
важениѥ,важность
важити,весить
важьность,важность
важьныи,важный
валеныи,тесанный
валити,катить
валка,война
валъ,вал
валъ,волна
вальчеватыи,округловатый
вальчити,воевать
валяти,катить
валѧниѥ,свиток
валѧтисѧ,падать
вамбакъ,губка
вандышь,сняток
вапа,краска
вапь,краска
вапьно,известь
вапьныи,озерный
вари,башня
вариво,варево
варимантия,мантия
варити,варить
варити,беречь
варитисѧ,беречься
варка,барка
вароватисѧ,беречься
варъ,смола
варъ,сторожение
варъваринъ,варвар
варъваръ,варвар
варъварьскыи,варварский
варъка,барка
варьливыи,опрометчивый
василискъ,василиск
ватага,ватага
ватаманъ,атаман
ваятель,скульптор
ведро,ведро
ведьць,проводник
везти,везти
везтисѧ,переправляться
велегласовати,возглашать
велегласьныи,красноречивый
веледушиѥ,великодушие
веледушьныи,великодушный
велелѣпиѥ,величие
велеславьныи,знаменитый
велеумиѥ,гордость
велеумьныи,мудрый
веливати,приказывать
велии,большой
велииство,величие
великогласьныи,громкоголосый
великодушиѥ,великодушие
великодьржавьныи,державный
великоименитыи,знаменитый
великоименьныи,знаменитый
великолѣпиѥ,великолепие
великолѣпныи,великолепный
великолѣпотьныи,великолепный
великолѣпьство,великолепие
величавиѥ,величие
величавыи,величавый
величаниѥ,гордость
величениѥ,увеличение
величиѥ,величие
величьствиѥ,величие
величьствоватисѧ,величаться
велиядыи,обжорливый
вельблудъ,верблюд
вельблужии,верблюжий
вельбудъ,верблюд
вельбудъ,верблюд
вельбужии,верблюжий
вельгласьно,громогласно
вельгласьныи,громогласный
вельдушьныи,великодушный
вельлѣпыи,великолепный
вельлѣпьныи,великолепный
вельми,очень
вельможа,вельможа
вельможьство,власть
вельмудрыи,мудрый
вельмудрьно,вдумчиво
вельмудрьныи,мудрый
вельмыслъ,мудрец
вельмысльныи,мудрый
вельство,обширность
вельшаныи,ивовый
верблюдъ,верблюд
веребии,воробей
веревочка,веровочка
верегиня,берегиня
вередити,вредить
вережати,вредить
веремѧ,время
верескати,верещать
веретага,перетяга
веретено,веретено
веретеньныи,веретенный
верещати,верещать
верзати,вязать
верижьникъ,пленник
верижьныи,веревочный
вертлигъ,шалнер
вертлугъ,шалнер
веселити,веселить
веселитисѧ,веселиться
веселованиѥ,радость
веселовати,веселить
веселыи,веселый
веселыи,радостный
весельныи,веселый
весельство,веселость
весло,весло
весна,весна
весныи,весенний
весньныи,весенний
ветъхость,ветхость
ветъхъ,тряпка
ветъчаныи,ветхий
ветъшити,старить
вечеръ,вечер
вечерьнии,вечерний
вечеря,ужин
вечеряти,ужинать
вешьнии,весенний
вещьныи,вещественный
вещьство,вещество
вещьствьныи,вещественный
вигносъ,виноградник
видати,видеть
видимо,видимо
видимыи,видимый
видитель,руководитель
видовати,видывать
видовьникъ,руководитель
видовьныи,видимый
видокъ,свидетель
видомо,видимо
видьныи,видный
видьць,наблюдатель
видѣтель,зритель
вижа,видя
викия,сосуд
вила,вилы
вила,вилка
вилица,вилка
виловатыи,вилкоподобный
вимьянии,внешний
винарь,костюмер
виникъ,виновник
виноватыи,виноватый
виноградьныи,виноградный
винопиица,пьяница
виночваньчия,виночерпий
виночьрпица,виночерпица
виночьрпчия,виночерпий
виночьрпьць,виночерпий
виньникъ,виночерпий
виньникъ,виновник
виньница,виночерпица
виньница,погреб
виньничьныи,виноградный
виньновати,винить
виньце,винцо
випль,выпелица
виръ,вихрь
вискати,выскакивать
високостъ,несчастье
високостьныи,несчастный
висѣти,висеть
виталище,гостиница
витальникъ,гость
витальница,гостиница
витати,обитать
вити,вить
витисѧ,виться
витиискыи,риторический
витовати,обитать
витѧзь,витязь
вихляниѥ,вихляние
вихъръ,вихрь
вишениѥ,вишни
вишьневыи,вишневый
вишьня,вишня
вия,шпатель
владати,владеть
владати,властвовать
владовати,владеть
владъ,владение
владытчина,владение
владычьствиѥ,владычество
владь,волоса
владьство,владычество
владѣниѥ,владение
влажьныи,влажный
власатыи,волосатый
властелинъ,властитель
властель,властелин
властельскыи,властительный
властельствовати,властвовать
властелянинъ,властелин
власти,владеть
властительскыи,властный
властити,властвовать
властовати,властвовать
властьныи,властный
властьствьно,властно
власфимисати,хулить
власфимия,хула
власфимляти,хулить
власяница,мешковина
власяныи,волосяной
влатъ,великан
влачити,увлекать
влащь,особенно
влащь,власть
влодь,волосы
вобчии,общий
вода,вода
водитель,вождь
водлугъ,по
вододьржа,водоем
водокрьстиѥ,водосвятие
водоносъ,ведро
водоносьць,водоносец
водотеча,поток
водоточа,протока
водоточьница,водоем
водочьрпъ,водонос
водьнитися,волноваться
водьныи,водный
вождевица,предводительница
вождь,лидер
возатаи,возница
возводныи,подъемный
возвукъ,звук
возгри,слизь
возгрь,сопля
воздавати,воздать
воздаль,далеко
воздрожати,задрожать
воздымати,поднимать
воздымъ,подъем
возити,возить
возитисѧ,переезжать
возлюбльникъ,возлюбленный
возомьздити,вознаградить
возракъ,вид
возрити,взглянуть
возъ,повозка
возырь,визирь
возьникъ,водитель
возьница,водитель
вои,войско
воилокъ,войлок
воина,война
воиничь,воинский
воиничьскыи,воинский
воину,всегда
воинъ,воин
воиныи,военный
воиньныи,военный
воиньскыи,воинский
воиньствьньникъ,воинственный
воиска,война
воиско,армия
воиство,воинство
воити,войти
воитко,войт
воитъ,войт
волгскыи,влажный
волениѥ,желание
воленыи,добровольный
волительныи,произвольный
воловьныи,воловий
волога,влага
володь,волосы
володѣниѥ,владение
волокита,проволочка
волостелинъ,властелинский
волосъ,волос
волотъ,великан
волочаныи,крытый
волочити,тащить
волуи,воловий
волха,ольха
волхвовь,волхвы
волшебьныи,волшебный
вольникъ,избранник
