abasshen,abash
arche-biscop,archbishop
archer,archer
archi-deken,archdeacon
a-rechen,reach
a-redy,ready
aren,are
arerage,arrear
arere,rear
a-rest,rest
a-reysen,arouse
argumenten,argue
a-risen,arise
ariue,arrive
ark,ark
arles,earnest
arly,early
arm,arm
armen,arm
arm-heorted,tenderhearted
arminge,arming
armony,harmony
arred,scarred
arsenik,arsenic
arsmetike,arithmetic
arst,first
artou,thou
asailen,assail
asaut,assault
ascapie,escape
asche,ash
ascrive,ascribe
ascry,outcry
asent,assent
aske,ash
aske-fise,ashes
asken,ask
a-slawe,slain
a-slepe,asleep
a-slepid,sleep
a-sonder,asunder
a-soylen,absolve
aspaltoun,asphalt
aspert,expert
aspie,spy
asprely,fiercely
assemble,assembly
assiduelly,continually
assoilen,absolve
astate,estate
astronomye,astronomy
astronomyen,astronomer
asure,azure
aswagen,assuage
a-swowne,aswoon
a-syde,aside
atempre,temperate
atemprely,temperately
at-fleon,flee
at-fore,before
ath,oath
athamaunte,adamant
at-holden,withhold
at-scheoten,shoot
at-stonden,withstand
atteir,attire
atter-liche,bitterly
atter-lothe,antidote
a-tweyne,twain
a-two,two
atyren,attire
auchtene,eighteen
auctoritee,authority
auctour,author
auhte,ought
aul,awl
aulf,elf
aumoner,almoner
auncessour,ancestor
aunceter,ancestor
aungel,angel
auntrous,adventurous
auote,foot
auter,altar
autorite,authority
autour,author
auailen,avail
auaunce,advance
auauncement,advancement
avoutrer,adulterer
avoutresse,adulteress
auowe,vow
avowen,vow
auysely,advisedly
auysyon,vision
a-wakenen,awake
a-wakien,awake
a-way,away
awayte,await
away-ward,wayward
awe,awe
a-winnen,win
a-wondrien,astonished
axer,asker
ay-where,everywhere
a-ȝeines,against
a-ȝeinst,against
aȝen-fiȝtinge,fighting
aȝen-ward,backward
baar,bare
babelen,babble
babelyng,babbling
babishe,babyish
bacheler,bachelor
bachelerie,bachelor
bacoun,bacon
bad,bade
badde,bad
baddeliche,badly
baie,bay
bair,bare
bairnis,bairns
bak,back
bak-bitere,backbiter
bak-bitynge,backbiting
baken,bake
bakere,baker
bakestere,baker
bale-drinch,drink
balies,bellies
balled,bald
band,bound
banere,banner
bank,bank
ban-wort,bonewort
baptym,baptism
bar,bare
barayn,barren
barbarik,barbarian
barbarus,barbarian
barbour,barber
bare,boar
bare,bare
barel,barrel
bareyne,barren
barly,barley
barmkyn-wall,rampartwall
barn,bairn
barnen,burn
baroun,baron
barste,burst
basnetes,helmets
bataille,battle
baten,abate
bateren,batter
batte,bat
bauderyk,baldric
baudry,baldric
bawd,bade
bawe-lyne,bowline
baxtere,baker
bayne,bath
bedde,bed
be-drenchen,drench
bee,bee
beek,beak
beem,beam
beere,bier
beest,beast
beeten,beat
beggen,beg
beggere,beggar
beggestere,beggar
beknen,beckon
beldinge,building
belle,bell
belt,built
ben,be
benche,bench
benched,benches
bend,bond
benden,bend
benefet,benefit
berd,beard
bere,beer
bere,bear
bere,bier
beren,bear
berie,berry
beril,beryl
berken,bark
berkyng,barking
berme,harm
bern,barn
bernacle,snaffle
bernake,barnacle
bernen,burn
bersten,burst
berstles,bristles
best,best
betaken,betoken
beten,beat
beuer,beaver
beye,buy
bi-cause,because
bicche,bitch
bi-clusen,enclose
bi-colmen,blacken
bi-cumelich,comely
biden,bide
biennales,biennials
bi-fallen,befall
bi-foren,before
big,big
biggere,buyer
bi-gilen,beguile
bi-ginnen,begin
bi-growe,overgrown
bi-grucchen,begrudge
bi-gynandly,beginning
bi-healde,behold
bi-heden,behead
bi-hinde,behind
bi-holden,behold
bi-huden,hide
bilden,build
bi-leuen,believe
bi-liuen,live
bi-menen,bemoan
bi-mening,bemoaning
bi-mong,among
binden,bind
binne,bin
bi-queste,bequest
bi-quethen,bequeath
bi-quide,bequest
bird,bird
birded,birds
bi-reuen,bereave
bi-rolled,rolled
birth-tonge,tongue
bi-schinen,shine
bischop,bishop
bi-schrichen,shriek
bi-schunien,shun
bi-sechen,beseech
bi-segen,besiege
bisi,busy
bisily,busily
bi-slabered,beslobbered
bi-smeoruwed,besmeared
bi-smotered,spotted
bi-sprengen,besprinkle
bi-striden,bestride
bisy,busy
bisyhed,busyhood
bisynesse,business
bitel,biting
bitel-browed,eyebrows
biten,bite
bi-time,betimes
bi-toknen,betoken
bi-trayen,betray
bitter,bitter
bi-turnen,turn
bi-twenen,between
bi-twix,betwixt
bi-twiȝe,between
bi-wepen,beweep
bi-winden,wind
bi-ȝonde,beyond
blaberen,blabber
bladder,bladder
blak,black
blase,blaze
blasen,blaze
blasfeme,blasphemer
blenchen,flinch
blenk,gleam
blenken,glance
blesen,blaze
blessen,bless
blete,bare
bleten,bleat
blewe,blue
blis,bliss
bliþe,blithe
blod,blood
blome,flower
blosme,blossom
blosmen,blossom
bloundisynge,blandishing
blowen,blow
blowen,bloom
blubren,bubble
bluȝ,blue
blyn-hede,blindness
bocher,butcher
body,body
boistous,noisy
boistously,loudly
bok,book
bokele,buckle
boket,bucket
boldeliche,boldly
bole,bull
bolle,bowl
bollen,swollen
bollyng,swelling
bon,bone
bonen,bone
boor,boar
boot,boat
boras,borax
borwen,borrow
borwynge,borrowing
bosten,boast
bosum,bosom
botelere,butler
botelle,bottle
boterace,buttress
boterace,buttress
bothe,both
botme,bottom
botme-les,bottomless
botun,bud
bouel,bowel
bounden,bound
bourding,jesting
bouȝ,bough
bowe,bow
bowe-lyne,bowline
bowen,bend
boydekyn,bodkin
bras,brass
braun,brawn
breas,brass
bred,bread
brede,bride
brede,breadth
breken,break
brek-gurdel,breechgirdle
breme,bream
bren,bran
brenningly,ardently
brerd,brim
brerd-ful,brimful
brere,briar
brest,breast
bresten,burst
bretful,brimful
brethe,wrath
brewen,brew
brewestere,brewster
brid,bird
brigge,bridge
briggen,bridge
bringen,bring
brink,brink
brisel,brittle
britel,brittle
briȝt,bright
briȝtnesse,brightness
brocour,broker
brod,broad
brode,brood
brok,brock
brok,brook
brol,brat
broðer,brother
broðer-hed,brotherhood
brouded,braided
broudster,embroiderer
broun,brown
bryde,bride
bryde-gome,bridegroom
brystylle,bristle
bryttlynge,breaking
bulde,built
builen,boil
burden,burden
burdenous,burdensome
burgeis,burgess
burien,bury
burnen,burnish
burðene,burden
busy,busy
busyen,busy
busynesse,business
cæste,chest
caliz,chalice
callen,call
calme,calm
calmen,calm
camamelle,camomile
camel,camel
cameline,camlet
camelot,camlet
cammamyld,camomile
canceler,chancellor
candel,candle
canevas,canvas
canker,cancer
canne,cane
canne,can
canonisen,canon
canoun,canon
caper-cailye,capercailyie
capitain,captain
cappe,cap
carayne,carrion
carited,charity
carl-man,man
caroigne,carrion
carolinge,carolling
carpyng,talking
carre,cart
carry,carry
casse,chest
castel,castle
cat,cat
catour,caterer
caudron,cauldron
cautele,caution
cawmyt,calmed
cedre,cedar
cedyr-tre,cedartree
celer,cellar
celerer,cellarer
celle,cell
ceptre,sceptre
cerchen,search
cercle,circle
cerclen,circle
cessen,cease
chaf,chaff
chaffaren,chaffer
chaine,chain
chald,cold
chamber,chamber
chamberling,chamberlain
chamelot,camlet
champartie,share
chapele,chapel
chapelein,chaplain
chapitre,chapter
chapitre-hous,chapterhouse
charbocle,carbuncle
charitee,charity
chartre,charter
chaser,chaser
chastelet,castle
chasteleyne,castellan
chastien,chastise
chastisen,chastise
chaunce,chance
chauncel,chancel
chaunceler,chancellor
chauncellerie,chancery
chauncerye,chancery
chaunge,change
chaungen,change
chaungyng,changing
chavyl-bone,jawbone
cheas,chose
checker,exchequer
cheef,head
cheld,cold
chelde,cold
chĕle,chill
cherche,church
cheriche,cherish
cherissing,cherishing
cherte,charity
cherubim,cherubim
chervelle,chervil
chery,cherry
chese,cheese
chesen,choose
chesible,chasuble
chesten-tre,chestnuttree
cheuetayn,captain
chewen,chew
cheyne,chain
chiden,chide
chil,chill
child,child
child-had,childhood
chirche,church
chirche-ȝeard,churchyard
chiries,cherries
chiri-tyme,cherrytime
chirkyng,hissing
chisel,chisel
chiteren,twitter
chitering,twittering
chiueren,shiver
chiueringe,shivering
chois,choice
choisly,choicely
chold,cold
choppen,chop
chronique,chronicle
churren,turn
chyne,chink
chynnyng,chink
chyp,chip
chyrmen,chirp
chyssell,chisel
cipres,cypress
circe,church
cisterne,cistern
citee,city
citesein,citizen
citiner,citizen
clappen,clapper
clapsen,clasp
clarifien,glorify
clarioun,clarion
claspen,clasp
clauster,cloister
claver,clover
clei,clay
clenchen,clench
clene,clean
clengen,cling
clenlich,cleanly
clensien,cleanse
clensinge,cleansing
clepyng,calling
clergie,clerical
cleuen,cleave
cleuering,clinging
cliketed,fastened
climben,climb
cliue,cliff
clochen,clutch
cloister,cloister
cloisterer,cloistermonk
clomben,climbed
cloos,close
closen,enclose
closter,cloister
closures,enclosures
clot,clod
cloteren,clot
cloth,cloth
clothen,clothe
clout,clout
clowe,clove
clubbe,club
clucche,clutch
cluddis,cloud
clyffe,cliff
clymbare,climber
clymben,climb
cnawlechen,acknowledge
cnelinng,kneeling
cneowe,knee
cniht,knight
cnotted,knotted
cnowen,know
co-arten,constrain
cod,cod
coffes,cuffs
cofre,coffer
cofren,coffer
coife,coif
coite,quoit
cok,cook
cokedrill,crocodile
cokewold,cuckold
cold,cold
cole,coal
cole,cool
colen,cool
coler,collar
columbine,columbine
comaunde,command
comaundement,commandment
comaundour,commander
combe,comb
combre-world,world
comen,come
comenden,commend
compainoun,companion
companable,sociable
companie,company
comparisoun,comparison
comparisounen,compare
compeir,appear
compline,compline
comsen,commence
comune,common
comune,commons
comunlych,commonly
comyn,cummin
comynalte,community
comyne,commune
comynte,community
conand,covenant
conceiven,conceive
confessen,confess
confessor,confessor
confiture,mixture
confort,comfort
confounden,confusion
confus,confusion
conjoignen,conjoin
con-ioyninge,conjoining
conseil,counsel
constable,constable
constablesse,constables
constance,constancy
contrarie,contrary
contree,country
controven,contrive
cope,cope
copen,cope
coper,copper
coppe,cup
corageus,courageous
coral,coral
corasiue,corrosive
coraye,curry
coriour,currier
corn,corn
corone,crown
coronen,crown
corosif,corrosive
cors,curse
cors,course
corsaint,saint
cort,court
corteis,courteous
corteisliche,courteously
cortesye,courtesy
corumpable,corruptible
corumpen,corrupt
coruen,carved
cosan,chosen
cosshe,house
costard-jagger,costermonger
coste,cost
costen,cost
costey,coast
costlewe,costly
cosyn,cousin
coten,coats
coude,could
counforte,comfort
countesse,countess
countrefete,counterfeit
countryng,countering
coupable,culpable
coupe,cup
courteislich,courteously
coveiten,covet
coveitous,covetous
couenaunt,covenant
couent,convent
couerchief,kerchief
coueren,cover
couert,covert
cow,cow
cowardie,cowardice
cowart,covert
cowschet,cushat
crabbe,crab
cracchen,scratch
crammasyn,crimson
crammen,cram
crampe,cramp
crane,crane
crawand,crowing
creat,created
creature,creature
crefti,crafty
crennis,cranes
crepen,creep
creste,crest
cribbe,crib
crike,creek
crimosine,crimson
crochette,crotchet
croh,crock
crois,cross
crokke,crock
crom-bolle,crumbbowl
cromme,crumb
crommen,cram
cronicle,chronicle
cronique,chronicle
crop,crop
crope,creep
crope,crupper
cropiers,horses
cros,cross
crosselet,crucible
crouche,cross
crouchen,cross
crouken,croak
croune,crown
crouning,crowning
crowch,cross
crowd,coo
crowen,crow
crownell,crown
crucchen,crouch
crud,curd
cruddid,curded
cruel,cruel
cruelnesse,cruelty
crueltee,cruelty
crulle,curly
crune,crown
cry,cry
cryen,cry
crystal,crystal
cudde,made
cude,cud
cuen,queen
cuffe,cuff
cukkow,cuckoo
culter,coulter
cumen,come
cumplie,compline
cunes-mon,kinsman
cunreadnes,kindreds
cupabil,culpable
cuppe,cup
curall,coral
curat,curate
cure,cure
curiour,currier
curious,zealous
curlew,curlew
currour,courier
curs,curse
cursedly,wickedly
cursen,curse
curt,court
curteis,courteous
curteisly,courteously
curteisye,courtesy
custome,custom
custome-house,customhouse
cwakien,quake
cyrce-iærd,churchyard
dage,days
dagge,jag
dagger,dagger
daghynge,dawning
daheð,dawn
dai,day
dai-liht,daylight
dai-rawe,daybreak
dai-sterre,daystar
dale,dale
dalte,dealt
damage,damage
dame,dame
damesele,damsel
dare,dark
darklyng,dark
daw,dew
daw,day
dawing,dawning
dawnen,dawn
dawning,dawning
day,day
dayerie,dairy
dayesie,daisy
dayntethis,dainties
deawes,dews
debrusen,bruise
deburs,disburse
deceit,deceit
deciple,disciple
ded,dead
dede,did
dede,deed
dede,died
dede-stoure,deathstruggle
dedeyne,deign
dee,die
deed,dead
deef,deaf
deel,deal
deep,deep
defaute,defect
defet,defeated
defiguren,disfigure
defless,devils
de-foulen,foul
defte,gentle
deghe,die
deken,deacon
del,deal
dele,dale
delen,deal
delfin,dolphin
delful,doleful
delfulli,dolefully
delices,delights
delit,delight
delitable,delightful
delite,delight
delitingis,delights
deluen,delve
deluers,diggers
demen,decree
dene,din
denie,din
denne,den
deofell,devil
deop,deep
deopliche,deeply
deopnesse,deepness
deore,dear
deorling,darling
deouele,devil
dep,deep
depayntar,painter
depe,depth
depen,dip
deplike,deeply
depnesse,depth
depraue,depreciate
dere,dear
derk,dark
derken,dark
derkful,dark
derkhed,darkness
derknesse,darkness
derling,darling
dert,dirt
derðe,dearth
desarayen,disorder
desauauntage,disadvantage
descriuen,describe
despeir,despair
despeiren,despair
despisabil,despicable
despitously,contemptuously
despoilen,despoil
dest,doest
destroyen,destroy
destroyere,destroyer
dette,debt
deue,deaf
deuel,devil
deuisen,decide
deuouren,devour
dew,dew
dewill,devil
deyen,die
deyen,dye
deyere,dyer
deyl,deal
deyntee,dainty
diamant,diamond
diath,death
diciples,disciples
diefles,devils
diere,dear
diete,diet
dieten,diet
diffacen,deface
dif-faden,fade
diffame,disgrace
dignete,dignity
dim,dim
dimnes,dimness
dinnen,din
disburse,purse
dischevele,disorder
disciple,disciple
disclaundre,slander
disclose,disclose
disconfort,discomfort
disconforten,discomfort
discoueren,uncover
disdeyn,disdain
disdeyne,disdain
disgysen,disguise
disheriten,disinherit
dismayen,dismay
disparagen,disparage
dispenden,spend
dispers,dispersed
displesance,annoyance
disputen,dispute
disputeson,disputation
disshe,dish
dissimulinge,dissembling
distaf,distaff
distinguen,distinguish
distrier,destroyer
distraught,distracted
disturben,disturb
disturblen,disturb
disturblyng,disturbance
diuel,devil
diuulgate,divulged
diyngis,dyes
diȝe,die
doale,dole
dogge,dog
dohter,daughter
dolefulle,doleful
dolfin,dolphin
dolfully,dolefully
domage,damage
domb,dumb
dome,doom
domes-day,doomsday
don,do
donjoun,dungeon
don-ward,downward
doo,doe
dool,dole
dorc,dark
dore,door
dore-tre,door
dorren,dare
dortour,dormitory
dosc,dusk
doseyn,dozen
dotard,dotard
dotel,fool
doughtren,daughters
douhtres,daughters
doumbe,dumb
doun-ward,downward
doute-lees,doubtless
douȝter,daughter
douene,dove
dowaire,dower
dowue,dove
dozein,dozen
dragen,draw
drast,dregs
drawen,draw
drede,dread
dreden,dread
dredful,dreadful
drednes,dread
dreid,dread
drem,dream
dremels,dream
drench,drink
drenchen,drown
drenchyng,drowning
drery,dreary
dreye,dry
drink,drink
drinken,drink
drinkere,drinker
drit,dirt
drof,drove
drogges,drugs
droh,drew
dronk,drank
dronkelewe,drink
dronkenesse,drunkenness
drought,drought
drounen,drown
droupen,droop
drouing,trouble
droȝ,drew
drund,drowned
drunkelew,drinking
drunken,drinking
drunkennesse,drunkenness
drunknen,drown
druuynge,trouble
drye,dry
drye,dry
dude,did
duere,dear
duete,duty
dully,dull
dune,din
dungon,dungeon
dun-ward,downward
durance,endurance
durlyng,darling
durren,dare
dwergh,dwarf
dyad,dead
dyeuel,devil
dyn,din
dys-playere,diceplayer
dyvers,divers
dyversen,different
dyversitee,divers
dyȝe,die
ealde,old
ealde,age
ealdren,elders
ealre,all
eam,am
earm,arm
earnynge,earning
eche,each
eclipse,eclipse
effecte,effect
efter,after
egal,equal
egalite,equality
egge,edge
egle,eagle
egremoin,agrimony
eighte,eight
eighte,eighth
eightene,eighteen
eightetethe,eighteenth
eiðer,either
ekeu,ake
elder,older
eleccioun,election
elf,elf
elf-queen,fairyqueen
eliche,alike
elixir,elixir
ellerne,eldertree
elles,else
elles-hware,elsewhere
elles-hwider,elsewhither
elmesse,alms
eluish-marked,disfigured
embassade,embassy
embassadour,ambassador
embassadrie,ambassadorship
emeraude,emerald
emperere,emperor
emperice,empress
emperour,emperor
empoisoner,poisoner
empoisoning,poisoning
emportured,pourtrayed
emty,empty
emyspery,hemisphere
enamelen,enamel
enbrouden,embroider
encens,incense
encense,incense
enchauntement,enchantment
encombren,encumber
encorporing,incorporation
encrees,increase
encressen,increase
ende,end
endeles,endless
enden,end
endenten,indenture
enditen,indict
end-lang,along
enerite,inherit
eneuch,enough
enfecte,infected
enfermerere,infirmary
enflaumen,inflame
engel,angel
engyn,engine
enhached,marked
enhastyng,hasting
enhorten,encourage
enke,ink
enkerly,entirely
enleuene,eleven
enluminen,illumine
ennewen,renew
ennuyed,annoyed
enpoisone,poison
enpoisonen,poison
enquere,inquire
enqueringe,enquiry
ensample,example
enserchen,search
enstore,restore
entencion,intention
entendement,intelligence
entenden,attention
ententif,attentive
enterment,interment
entraille,entrails
enuenymen,envenom
envined,wine
eny,any
eouwer,your
eppel,apple
erche-bissop,archbishop
erche-dekene,archdeacon
ere,are
erende,errand
eritage,heritage
erl,earl
erl-dom,earldom
erly,early
ermite,hermit
ernen,earn
ernen,run
ernestful,earnest
ernestly,eagerly
ert,art
erthe,earth
ertheli,earthly
erthe-schakyng,earthquake
erthe-tiliere,tiller
eschame,ashamed
eschapen,escape
eschaping,escape
eschaunge,exchange
escheker,exchequer
eschetes,escheats
eschewen,eschew
ese,ease
esmayed,dismayed
est,east
estat,state
eterne,eternal
euangeliste,evangelist
euel,evil
euel-les,guiltless
euen,even
euenli,evenly
euerich,every
euorye,ivory
exerce,exercise
expounen,expound
eȝe,eye
eȝe-lid,eyelid
face,face
facion,fashion
fader,father
færen,fare
fagen,fain
faie,fairy
faille,fail
faire,fair
fairye,fairy
faiten,false
fallen,fall
fallow,fellow
fallow,fellow
fallynge,falling
fallynge-ax,fellingaxe
fals,false
fals-hede,falsehood
falsien,false
falwe,pale
falwen,fade
familier,familiar
fand,found
fantasie,fancy
fasten,fast
fasten,fasting
fat,fat
faucon,falcon
faunt,infant
faur,four
faur-tend,fourteenth
faute,fault
fawe,few
fawn,fawn
faym,foam
fayre,fair
fayrehed,fairness
fearen,fare
feawe,few
feble,feeble
fecchen,fetch
fecht,fight
fechtaris,fighters
feden,feed
feder,father
feder,feather
feet,deed
feier,fair
feild,field
feir,fair
feiren,fair
feið-ful,faithful
fel,fell
felawschipe,fellowship
feld,field
fele-folde,manifold
felen,feel
fellen,fell
fenkel,fennel
feorden,fared
fer,far
ferd,fear
ferdlayk,fear
fere,fear
ferlac,fear
fermacye,pharmacy
ferme,firm
fermery,infirmary
fern,fern
fersly,fiercely
fersnesse,fierceness
ferst,first
ferthe,fourth
ferthyng,farthing
fesaunt,pheasant
fest,fist
feste,feast
festeien,feast
festen,fasting
festlich,feasts
festnen,fasten
fet,fat
fet,feet
fetel,vessel
feter,fetter
feteren,fetter
feth,faith
fether,feather
feðer-foted,fourfooted
fetten,fetch
feuer,fever
fewe,few
fewte,fealty
feyn,fain
feynen,feign
feynting,fainting
feyre,fair
fieble,feeble
field,field
fiers,fierce
fife,five
fifetende,fifteenth
fif-fald,fivefold
fifte,fifth
fifte-siðe,fifthly
fighten,fight
figure,figure
figurie,figured
fihten,fight
fiht-lac,fighting
fikel,fickle
filthe,filth
finden,find
firmentie,furmety
fisch,fish
fischen,fish
fischere,fisher
fischinge,fishing
fiðele,fiddle
fiðelen,fiddle
fitheler,fiddler
flake,slice
flanckring,sparkling
flappen,clap
flateren,flatter
flatlyngis,flat
flatour,flatterer
flaucht,flake
flaumbe,flame
flawe,flake
flayle,flail
flee,flea
fleen,flee
flees,fleece
flen,flay
flesch,flesh
flesche-flye,fleshfly
fleschlich,fleshly
flex,flax
flicht,flight
flod,flood
flor,floor
floret-silk,silk
florin,coin
florischen,flourish
flote,fleet
flour,flower
floure-de-lice,fleurdelys
flouren,flower
flowen,flow
flowing,flood
flye,fly
fode,food
folc,folk
folc-king,king
fole,foal
folie,folly
folily,foolishly
follich,foolish
foltheed,folly
foltische,foolish
foltren,totter
folwen,follow
fo-man,foeman
font,font
foole,fool
foom,foam
foot-stappe,footstep
for,for
for,far
forage,forage
forager,forager
for-bathde,bathed
for-beden,forbid
for-beren,forbear
for-blak,black
force,force
for-cursæd,accursed
ford,ford
for-demen,condemn
for-dreden,frighten
for-dronken,drunken
fore,before
forest,forest
forester,forester
forfet,forfeit
for-feynted,enfeebled
forgen,forge
for-geten,forget
forgetil,forgetful
forgetilnes,forgetfulness
for-gilten,forfeit
for-gon,forgo
for-heed,forehead
for-leten,forsake
forme,first
formen,form
formere,former
formest,first
forn-cast,forecast
forneys,furnace
forray,foray
forray,forage
forrayour,forager
forred,furred
for-slouthe,sloth
for-swerien,forswear
forth,forth
forther,further
forð-teon,forth
fortune,fortune
fortune,fortunate
fortunous,fortunate
for-waste,wasted
for-withered,withered
for-wounded,wounded
for-wrapped,wrapped
for-ȝeten,forget
for-ȝetful,forgetful
for-ȝiuen,forgive
for-ȝiuenesse,forgiveness
fostren,foster
foul,fowl
foul,foul
foule,fool
foul-hed,folly
foundement,foundation
founden,found
foundour,founder
foure,four
fownys,fawns
frakne,freckle
fraknede,freckled
fram,from
franke,free
frankeleyn,freedman
fraught,freighted
freden,feel
frekel,freckle
frele,frail
freletee,frailty
fre-man,freeman
frend,friend
frendesse,friend
frendrede,friendship
frendschipe,friendship
freoien,free
frere,friar
fresch,fresh
freschly,freshly
fresen,freeze
frien,fry
frigt,fright
fro,from
frogge,frog
frokke,frock
frosche,frog
froðe,foam
frothen,froth
frude,frog
frut,fruit
ful,foul
ful,full
ful-hed,fulness
full,full
fulle,fill
fullen,fill
fulliche,fully
fulnesse,fulness
fulðe,fulness
funden,found
fundles,finding
fundling,foundling
funt,font
fureur,fury
furre,fur
furren,fur
fust,fist
fyry,fiery
gaderare,gatherer
gaderen,gather
gadering,gathering
gainges,goings
gairding,garden
galeye,galley
galianes,drinks
galiote,galley
galoun,gallon
galwe-tre,gallowstree
gang,going
ganien,gape
gardin,garden
garlek,garlick
gat,goat
gate,path
gate,gate
gatte,granted
gaudying,toying
gauren,gaze
gaurish,garish
gayn-stand,withstand
geaunt,giant
gees,geese
geet,jet
gelden,geld
gelty,guilty
gemme,gem
gendre,gender
ger-fawcon,falcon
gerland,garland
gerner,garner
gerraflour,gillyflower
gert,girt
gerth,girth
gessynge,guessing
gest,goest
gest,guest
gestinge,jesting
geten,beget
gett,jet
giaunt,giant
giet,yet
gille,gill
gill-flurt,flirt
gilt,guilt
giltlese,guiltless
gingebreed,gingerbread
gingiuere,ginger
girdel,girdle
girden,gird
gist,guest
giste,joist
giterne,guitar
giuenesse,forgiveness
glad,glad
gladliche,gladly
gladnesse,gladness
gladschipe,gladness
gladynge,gladness
glas,glass
glasen,glass
glað,glad
gled,glad
gledliche,gladly
glednesse,gladness
glenten,glance
glew,glee
glew,glue
gliden,glide
gliffen,glance
glorie,glory
glotonie,gluttony
glotori,gluttony
glotoun,glutton
glowen,glow
glu,glue
gluen,glue
glutenerie,gluttony
gluton,glutton
glutrie,gluttony
gnar,snarl
gnasten,gnash
gnawen,gnaw
gobelin,goblin
god,good
god-child,godchild
godcund,godly
godly,kindly
godnesse,goodness
god-spel,gospel
godspelboc,gospelbook
gogelen,goggle
gold,gold
gold-spynk,goldfinch
golet,gullet
gomme,gum
gon,go
gone,gape
gonge,go
gonne,gun
good,good
good,good
goot,goat
gore,mire
gorst,gorse
gos-hawke,goshawk
gossomer,gossamer
gotere,gutter
goune,gown
gourde,gourd
gouernance,government
gouerne,govern
gouernour,governor
gradi,greedy
graffen,graft
graithly,readily
granand,groaning
granat,garnet
gras,grass
graunt,great
grauynge,engraving
gravys,groves
gray,gray
gredinge,crying
gredy,greedy
gree,agree
gref,grief
greit,grit
grenehede,greenness
grennen,grin
grennunge,grinning
greot,grit
gres,grass
gresy,grassy
gret,great
gretliche,greatly
greuaunce,grievance
greuen,grieve
greuous,grievous
greyce,gray
grey-hownd,greyhound
greyn,grain
griffoun,griffin
grinden,grind
grindere,grinder
gripen,grip
griðfulnesse,peacefulness
grocchen,grudge
groflinges,groveling
gronen,groan
grote,groat
ground,ground
grounden,found
grucchen,grudge
grucching,grumbling
grunten,grunt
gruntyng,gnashing
gukgo,cuckoo
gulchen,gulp
gulde,gold
gulden,golden
gult,guilt
gulty,guilty
gultyf,guilty
gumen,men
gumme,gum
gunge,young
gurdel,girdle
gyde,guide
gyden,guide
gylt,gilt
gylt,gild
gryrss,grass
gyse,guise
gysse,geese
haberdashrie,haberdashery
habide,abide
habilitie,ability
hable,able
haboundanle,abundantly
habounde,abound
habundance,abundance
habundant,abundant
habundantly,abundantly
habunde,abound
hacche,hatch
hæhst,highest
hafed,head
hagge,hag
hail,hail
hail,hale
