a-bac,backwards
bi-lyen,accuse
bi-masen,confuse
bi-menen,bemoan
bi-mening,bemoaning
bi-mong,among
bi-mornen,mourn
bi-mowe,mock
binden,bind
bi-nemnen,declare
bi-neðe,beneath
bi-nimen,take
binne,bin
binne,within
bi-queste,bequest
bi-quethen,bequeath
bi-quide,bequest
bird,behoved
bird,bird
birded,birds
bire,impetus
bi-reden,counsel
bi-reinen,rain
bi-reusien,regret
bireusunge,contrition
bi-reuen,bereave
bi-rinnen,moisture
birlen,drink
birlynge,drink
bi-rolled,rolled
birth,offspring
birth-tonge,tongue
bi-sched,besprinkled
bi-schetten,shut
bi-schinen,shine
bischop,bishop
bi-schrewen,corrupt
bi-schrichen,shriek
bi-schunien,shun
bise,northwind
bi-sechen,beseech
bi-segen,besiege
bi-semen,appear
bi-sen,appoint
bisenen,an
bisening,example
bi-setten,occupy
bisi,busy
bisily,busily
bi-sitten,sit
bi-slabered,beslobbered
bi-smeoruwed,besmeared
bi-smer,scorn
bi-smitten,dirty
bi-smotered,spotted
bisne,parable
bi-soken,petition
bi-soȝte,of
bi-speken,speak
bi-spel,parable
bi-speten,spit
bi-sprengen,besprinkle
bisse,texture
bissyn,linen
bi-stad,overcome
bi-standen,surround
bi-steken,shut
bi-striden,bestride
bi-sunien,shun
bi-swiken,deceive
bi-swinken,earn
bisy,busy
bisyhed,busyhood
bisynesse,business
bi-taken,entrust
bi-techen,entrust
bitel,biting
bitel-browed,eyebrows
bi-tellen,convince
biten,bite
bi-teon,employ
bi-þenken,think
bi-tiden,happen
bi-tilden,cover
bi-time,betimes
bi-toknen,betoken
bi-trayen,betray
bitter,bitter
bitter,bitterness
bittur-browed,brows
bituhhe,between
bi-turnen,turn
bi-twenen,between
bi-twix,betwixt
bi-twiȝe,between
bityl,beetle
biuien,tremble
bi-wailen,lament
bi-welden,Civilized_societies
bi-wenden,turn
bi-wepen,beweep
bi-werien,defend
bi-winden,wind
bi-winnen,obtain
bi-witen,guard
bi-wlappe,wrap
bi-wreyen,disclose
biȝes,collars
bi-ȝete,profit
bi-ȝetel,profitable
bi-ȝeten,possess
bi-ȝonde,beyond
blaberen,blabber
bladder,bladder
blak,pale
blak,black
blake,smut
blake-beryed,hither
blanchet,powder
blanc-mangere,cheesecake
blane,pt
blank,white
blase,blaze
blasen,blaze
blasen,proclaim
blasen,heraldry
blasfeme,blasphemer
blaundissen,flatter
blee,complexion
bleike,pale
blenchen,flinch
blenden,together
blenden,deceive
blenk,gleam
blenken,glance
blere,dim
bleren,dim
blesen,blaze
blessen,bless
blete,bare
bleten,bleat
blewe,livid
blewe,blue
blinnen,cease
blis,bliss
blissien,rejoice
bliþe,blithe
bliðe-liche,gladly
bliue,quickly
blo,livid
blod,blood
blode,living
blok,pale
blo-man,negro
blome,flower
blosme,blossom
blosmen,blossom
bloundisen,flatter
bloundisynge,blandishing
blowen,blow
blowen,bloom
blubren,bubble
blustren,aimlessly
bluȝ,blue
blyn-hede,blindness
bobbe,jog
bobben,strike
bocche,boil
bocher,butcher
bocherie,shambles
bod,waiting
bod,waited
bode,message
bode-word,command
bodien,announce
body,body
body-half,dress
boistous,noisy
boistously,loudly
bok,book
bokele,buckle
bokeler,shield
boket,bucket
bold,daring
boldeliche,boldly
bolden,encourage
bole,clay
bole,bull
bolle,bowl
bollen,swell
bollen,swollen
bollyng,swelling
bolnen,swell
bolnyng,swelling
bolt,arrow
bolȝen,puff
bon,bone
bon,prepared
bonayre,gentle
bonayrelyche,reverently
bonchen,strike
bonde,serf
bonde-man,tiller
bone,poison
bone,petition
bonen,bone
bonet,sail
bonk,shore
boor,boar
boot,boat
boras,borax
bord,table
borgounen,bud
bornen,burnish
borwe,surety
borwen,borrow
borwynge,borrowing
bost,noise
bosten,boast
bosum,bosom
bote,unless
bote,amendment
botelees,remedy
botelere,butler
botelle,bottle
boterace,buttress
boterace,buttress
bothe,both
botme,bottom
botme-les,bottomless
botnen,heal
botun,bud
bouel,bowel
bouge,wallet
bouk,trunk
boun,ready
bounden,bound
bounen,ready
bour,chamber
bourde,jest
bourden,jest
bourding,jesting
bourdon,pilgrims
boustious,noisy
bouȝ,bough
bowe,bow
bowe-lyne,bowline
bowen,bend
boydekyn,bodkin
boyste,box
brac,crashing
brace,hounds
bracer,archery
brade,roast
brand,sword
brant,steep
bras,brass
brað,violence
braun,brawn
brayde,awhile
brayden,pull
breas,brass
bred,bread
bred,tablet
bred-ale,bridefeast
brede,bride
brede,roastflesh
brede,breadth
breden,spread
breden,roast
breden,produce
bred-wrigte,baker
breech,drawers
breels,wretches
breggid,shortened
breken,break
brek-gurdel,breechgirdle
breme,bream
breme,fierce
bremely,furiously
bren,bran
brennen,burn
brenningly,ardently
brent,steep
brerd,brim
brerd-ful,brimful
brere,briar
bresil,brittle
brest,breast
bresten,burst
bretful,brimful
breð,breath
brethe,wrath
breuet,letter
brewen,brew
brewestere,brewster
brid,bird
brigge,bridge
briggen,bridge
brike,calamity
bringen,bring
brink,brink
brisel,brittle
brisen,crush
brisokis,cabbage
britel,brittle
britnen,break
britoner,man
briȝt,bright
briȝte,brightly
briȝtnesse,brightness
brocage,treaty
broche,spear
brochen,pierce
brocket,third
brocour,broker
brod,broad
brode,awake
brode,brood
brok,brock
brok,brook
brol,brat
broð,violent
broþeful,violent
brothel,wretch
broþeliche,violently
broðer,brother
broðer-hed,brotherhood
broðer-rede,fraternity
brouded,braided
broudster,embroiderer
broudyng,embroidery
brouken,eat
broun,brown
bruk,locust
brune,burning
brunie,mail
brutiner,man
brutnen,hew
bryche,poor
bryd-ale,marriagefeast
bryde,bride
bryde-gome,bridegroom
bryk,misery
brymme,margin
bryn-ston,sulphur
brystylle,bristle
bryttlynge,breaking
budele,officer
bulde,built
buggen,buy
bugle,ox
builen,boil
bule,boil
bulle,papal
bulten,sift
bult-pele,sifter
bumbase,rickrack
bummen,taste
bun,prepared
bunchen,strike
bur,wind
bur,behind
burde,virgin
burden,burden
burdenous,burdensome
burdon,mule
burdoun,bass
bureth,it
burgage,estate
burgeis,burgess
burgh,town
buriel,tomb
burien,bury
burien,grave
burinisse,burialplace
burjoun,bud
burjounen,bud
burn,man
burne,water
burnen,burnish
burnet,brown
burnet,cloth
burðene,burden
busch,wood
buschement,ambush
busken,prepare
buskinge,dress
busteous,noisy
busy,busy
busyen,busy
busynesse,business
buuen,above
buxum,courteous
buxumliche,obediently
buxumnesse,obedience
bye,buy
byggyng,building
caas,circumstance
caas,quiver
caban,hut
cabine,boughs
cabinet,shed
cacchen,chase
cache-pol,constable
cacherel,justice
cæste,chest
caf,chaff
caitif,wretch
caitifte,wretchedness
calengen,accuse
calewe,hair
caliz,chalice
calle,hair
callen,call
callour,healthy
calme,calm
calmen,calm
cal-stocke,cabbagestalk
camamelle,camomile
camel,camel
cameline,camlet
camelot,camlet
cammamyld,camomile
camp,contest
campen,football
campynge,football
can,knows
canceler,chancellor
candel,candle
canelle,cinnamon
canevas,canvas
cang,lustful
cangen,befool
cang-liche,foolishly
cang-schipe,foolishness
canker,cancer
cankerd,corrupted
canne,cane
canne,can
canon,rule
canonisen,canon
canonistres,ecclesiastical
canoun,canon
cant,cheerful
cant,portion
cantel,bit
caper-cailye,capercailyie
capitain,captain
capitle,sum
cappe,cap
capret,goat
capul,nag
caracter,sign
carayne,carrion
carboncle,stone
carde,teasel
carden,wool
cardiacle,pain
care,grief
care-full,grief
caren,anxious
carf,cut
carited,charity
carl,man
carl-man,man
carme,a
caroigne,carrion
carole,dance
carolen,sing
carolinge,carolling
carpen,talk
carpyng,talking
carre,cart
carry,carry
carte,chariot
cary,rough
casse,chest
cast,plan
castel,town
castel,castle
castel-weorces,fortifications
casten,imagine
castyng,vomiting
cat,cat
catapuce,euphorbia
cat-cluke,trefoil
catel,wealth
catour,caterer
caucion,surety
caudron,cauldron
cauri-maury,coarse
cautele,caution
cautelous,deceitful
cavell,divide
cawmyt,calmed
cedre,cedar
cedyr-tre,cedartree
ceelen,walls
ceinte,girdle
celer,cellar
celerer,cellarer
celicall,heavenly
celle,cell
celure,canopy
cementing,hermetically
cendal,linen
centaure,plant
ceptre,sceptre
cerchen,search
cercle,circle
cerclen,circle
circulat,revolving
cere,wax
cere-cloth,bodies
cerements,above
cerge,taper
cerial,sacred
ceriously,details
certes,certainly
ceruse,white
cessen,cease
cetewale,ginger
ceðen,countries
chaf,chaff
chaffare,merchandise
chaffaren,chaffer
chaflet,stage
chaine,chain
chaire,seat
chald,cold
chalenge,claim
chalengen,accuse
chalengere,accuser
chamber,chamber
chamberere,handmaid
chamberling,chamberlain
chamelot,camlet
champaine,level
champartie,share
champion,fighter
chape,locket
chapele,chapel
chapelein,chaplain
chapiter,column
chapitre,chapter
chapitre-hous,chapterhouse
chapman,merchant
chapmanhode,trade
chapolory,scarf
charbocle,carbuncle
charen,turn
charge,injunction
chargen,enjoin
chargeouse,burdensome
charitee,charity
chariȝ,sad
charnel,charnelhouse
chartre,prison
chartre,charter
chase,hunting
chaser,chaser
chastelet,castle
chasteleyne,castellan
chastien,chastise
chastisen,chastise
chastyng,chastisement
chaud,hot
chaunce,chance
chauncel,chancel
chaunceler,chancellor
chauncellerie,chancery
chauncerye,chancery
chaunge,change
chaungen,change
chaunger,moneychanger
chaungyng,changing
chaunterie,singing
chavel,jaw
chavyl-bone,jawbone
cheap,bargain
cheap-ild,trader
chearre,turn
cheas,chose
checker,exchequer
cheef,head
cheef-mete,meat
cheffare,business
chekelew,suffocating
cheken,suffocate
cheker,exchequer
cheld,cold
chelde,cold
chelden,grow
chĕle,chill
chĕle,fur
chelle,bowl
chemys,mansion
chepe,bargain
chepen,sell
cheping,market
cher,dear
cherarchy,rulers
cherche,church
chere,time
chere,welcome
cheren,make
cheriche,cherish
cherissing,cherishing
cherl,peasant
cherliche,dearly
cherre,job
cherren,turn
cherte,charity
cherubim,cherubim
chervelle,chervil
chery,cherry
chesbolle,onion
chese,cheese
chesen,choose
chesible,chasuble
chesoun,cause
chest,jangling
chest,coffin
chesten,chestnuttree
chesten-tre,chestnuttree
chesun,cause
chesunabile,accusation
cheðen,countries
cheuaunce,profit
cheuen,succeed
cheuesance,profit
cheuesen,procure
cheuetayn,captain
chewen,chew
cheyne,chain
chibolle,onion
chiden,chide
chil,chill
chilce,childishness
child,child
childen,forth
child-had,childhood
chimney,furnace
chinche,sb
chinchen,niggardly
chincherie,miserliness
chirche,church
chirche-gong,women
chirche-haie,cemetery
chirche-ȝeard,churchyard
chirch-socne,congregation
chiries,cherries
chiri-tyme,cherrytime
chirken,twitter
chirkyng,hissing
chirm,birds
chirmen,twitter
chisel,chisel
chit,disputes
chiteren,twitter
chitering,twittering
chivache,expedition
chiualer,knight
chivalrie,knights
chiueren,shiver
chiueringe,shivering
chois,choice
choisly,choicely
chold,cold
choppen,chop
chrisolyte,3
chronique,chronicle
churren,turn
chymmys,mansion
chymney,furnace
chynchis,niggards
chyne,chink
chynnyng,chink
chyp,chip
chyrmen,chirp
chysly,choicely
chyssell,chisel
ciclatun,texture
cipres,cypress
circe,church
circe-wican,churchdwelling
cisterne,cistern
citee,city
citesein,citizen
citiner,citizen
citole,cithern
citolerer,player
citrinacioun,alchemy
citrine,citroncoloured
citur,citrontree
clam,sticky
clam,climbed
