абидныи,обидный
безградьныи,бездомный
безгрѣшьныи,безгрешный
бездомъкъ,бездомный
бездушие,бездушие
бездушьныи,бездушный
бездъна,бездна
бездъная,бездна
бездъниѥ,бездна
бездъны,бездна
бездънь,бездна
бездъньная,бездна
бездѣиствьныи,безработный
бездѣтьныи,бездетный
безименьно,безымянно
безименьныи,безымянный
безимѣньство,бедность
безлиствии,безлиственный
безлюбьзныи,нелюбезный
безлѣпиця,нелепица
безлѣпыи,нелепый
безлѣчьныи,неизлечимый
безмасльныи,безмаслянный
безмилованиѥ,немилосердие
безмилостивьныи,немилосердный
безмилостиѥ,немилосердие
безмилосьрдиѥ,немилосердие
безмужьныи,безмужный
безмълвиѥ,безмолвие
безмьздь,безмездный
безмьздьныи,безмездный
безмьздьныи,безвозмездный
безмѣрьныи,безмерный
безнадежиѥ,безнадежность
безнадежьно,безнадежно
безнадежьныи,безнадежный
безневѣстьная,безбрачная
безнравьныи,безнравный
безобразиѥ,безобразие
безопасно,безопасно
безоружьныи,безоружный
безочивыи,безглазый
безочьствиѥ,нечестие
безочьствовати,бесстыдствовать
безрадостьныи,безрадостный
безродиѥ,бесплодие
безръпътивыи,безропотный
безръпътьныи,безропотный
безумливыи,безумный
безумль,безумный
безумовати,безумствовать
безумъ,безумие
безумьница,безумная
безумьновати,безумствовать
безупъваньство,безнадежность
безуспѣшьныи,безуспешный
безълобивыи,незлобный
безълобиѥ,незлобие
безълобьно,незлобно
безълобьныи,незлобивый
безълобьство,незлобие
беленъ,белена
бервьно,бревно
беревно,бревно
берегу,беречь
берегъ,берег
береженныи,охранный
бережиѥ,побережье
бережьныи,побережный
березникъ,березняк
березовыи,березовый
бесилиѥ,бессилие
бесконьчьныи,безконечный
бескористьныи,бескорыстный
бескуньно,бесплатно
бесловествовати,безмолвствовать
беспроходьныи,непроходимый
бесрамьныи,бесстыдный
бестрашьныи,безопасный
бестьляныи,нетленный
бестѣлесьныи,бестелесный
бесумьнѣныи,неусыпный
бесурманинъ,мусульманин
бесчастьныи,несчастный
бесчеловѣчениѥ,бесчеловечность
бесчеловѣчьныи,бесчеловечный
бесчислиѥ,неисчислимое
бесчувьствьно,бесчувственно
бесчувьствьныи,бесчувственный
бесчьстивыи,нечестивый
бесчьстивьныи,нечестивый
бесъмирьныи,непримиримый
библиотека,библиотека
бивати,бить
биволъ,буйвол
бивьливыи,драчливый
бисьрѥ,бисер
бити,бить
битливыи,драчливый
благобоязнивыи,набожный
благобоязньныи,набожный
благобоязньство,набожность
благовеликыи,великий
благоволивыи,благодушный
благоволити,благоволить
благовольство,благоволение
благовольствьныи,благовольный
благовониѥ,благовоние
благовоньство,благовоние
благовоня,благовоние
благовоняти,благовонить
благоврѣменьныи,своевременный
благоврѣменьныи,своевременный
благовѣриѥ,благочестие
благовѣстиѥ,благовестие
благоговѣньныи,благочестивый
благодаривыи,благодарный
благодаритисѧ,возблагодариться
благодаровати,благодарить
благодарьникъ,благодетель
благодарьныи,благодарный
благодарьствити,благодарить
благодарьствиѥ,благодарность
благодарьствовати,благодарить
благодарьствьно,благодарно
благодарьць,благодарный
благодатель,благотворитель
благодательныи,благодетельный
благодательство,благодарность
благодатиѥ,благодать
благодать,благодать
благодатьникъ,благодетель
благодатьство,богатство
благодатьствовати,благодетельствовать
благодушиѥ,благодушие
благодушьно,благодушно
благодушьныи,благодушный
благодушьство,благодушие
благодьньство,благополучие
благодѣтелевъ,благодетельный
благодѣть,благодать
благоизволениѥ,благоволение
благоизволениѥ,произволение
благоизволити,соизволить
благоизволити,благоволить
благокущьньство,убранство
благоличьныи,благообразный
благомолитвьныи,молитвенный
благонадеждьныи,благонадежный
благонравьныи,благодетельный
благообразиѥ,благоприличие
благообразьно,благоприлично
благообразьныи,благоприличный
благообразьнѣ,благоприличие
благопокорьныи,покорный
благопокорьство,покорность
благополучиѥ,благополучие
благопослушаниѥ,послушание
благопослушивыи,послушный
благопослушьно,послушно
благопослушьныи,послушный
благопохвалениѥ,восхваление
благоприбытъкъ,благоприобретение
благопрѣспѣяниѥ,преуспеяние
благоразумиѥ,благоразумие
благоразумьныи,благоразумный
благородивыи,благородный
благородиѥ,благородство
благородьныи,благородный
благородьство,благородство
благорѣчивыи,красноречивый
благославиѥ,слава
благословениѥ,благословение
благословеныи,благословенный
благословествениѥ,благословение
благословествьныи,благословенный
благословестити,благословить
благословесьныи,благословенный
благословесьствовати,благовещать
благословиѥ,благословение
благословляти,благословлять
благословьствити,благословить
благостояниѥ,благоденствие
благота,благость
благотворениѥ,благодеяние
благотворити,благотворить
благоугодити,угодить
благоугодьныи,угодный
благоукутаниѥ,благообразие
благоустроити,благоустраивать
благоухнути,благоухать
благохвалениѥ,восхваление
благочиньнѣ,благоприлично
благочьствованиѥ,благочестие
благочьстивыи,благочестивый
благочьстивьно,благочестиво
благочьстивьныи,благочестивый
благочьстьно,благочестно
благочьстьныи,благочестный
благочьстьнѣ,благочестно
благочьстьнѣ,благочестиво
блаженикъ,блаженный
блаженыи,блаженный
блаженьствиѥ,блаженство
блаженьство,блаженство
блаженьствовати,блаженствовать
блазныи,опасный
блазньба,соблазн
блатина,плотина
блато,болото
блекати,блеять
блещаниѥ,плескание
ближениѥ,близость
ближьныи,близкий
ближѣишии,ближайший
близно,близко
близньць,близнец
близнѧ,близнецы
близу,близко
блисканиѥ,блистание
блискати,блистать
блискати,сверкать
блискатисѧ,блистать
блискъ,блеск
блистаниѥ,блистание
блистати,блистать
блистатисѧ,блистать
блъха,блоха
бльвотина,рвота
бльскати,сверкать
бльснути,блеснуть
бльснутисѧ,блеснуть
бльстѣти,блестеть
блювотина,рвота
блюдениѥ,наблюдение
блюдьница,блудница
блющь,плющ
блѣдость,бледность
блѣдьныи,бледный
блѣдѣти,бледнеть
блѣяниѥ,блеяние
блѣяти,блеять
бобровыи,бобровый
бобръ,бобр
бобъ,боб
бобъ,бобы
богатити,обогощать
богатитисѧ,обогащаться
богатыи,богатый
богатырьство,геройство
богатьно,обильно
богатьствиѥ,богатство
богатьство,богатство
богатѣти,богатеть
богобоиныи,богобоязненный
богобоязньство,богобоязнь
боговидьныи,богоподобный
богоизбраньныи,богоизбранный
богомати,Богоматерь
богомьрзьныи,богопротивный
богоненавистьныи,богопротивный
богоотъметьныи,богопротивный
богоприятьныи,богоугодный
богопроповѣдьникъ,проповедник
богоратьныи,богоборный
богорожаница,богородительница
богословиѥ,богословие
богословъ,богослов
богословьныи,богослова
богословьскы,богослова
богословьць,богослов
богосъпасьныи,богоспасаемый
боготворити,боготворить
богъ,Бог
богыни,богиня
бодавыи,бодливый
бодливыи,бодливый
божениѥ,божба
боженка,божница
божьскыи,божеский
божьствовати,боготворить
божьствьныи,божественный
боиливыи,драчливый
болестиныи,болезненный
болесть,болезнь
болии,больший
болото,болото
больница,больница
больныи,больной
больши,больше
боляринъ,боярин
болярыня,боярыня
болярьскыи,боярский
болѣдина,больной
болѣждь,больной
болѣзнивыи,болезненный
болѣзнина,больной
болѣзновати,болеть
болѣзнолюбьць,трудолюбец
болѣзныи,больной
болѣниѥ,болезнь
болѧринъ,боярин
боритель,борец
борити,бороть
бородатыи,бородатый
бородьныи,бородатый
борозда,борозда
борона,борона
боротелевъ,гонителя
боротисѧ,бороться
борсуковыи,борсуковый
борсукъ,барсук
борь,борьба
борьба,борьба
бости,бодать
босыи,босой
бочижь,бочка
боязливыи,боящийся
боязнивыи,боящийся
бояниѥ,боязнь
боярыни,боярыня
боярьскыи,боярский
боярьство,боярство
боятися,бояться
брага,брага
брада,борода
брадатыи,бородатый
брадица,бородка
брадьныи,бородатый
браньныи,военный
брататисѧ,брататься
братеникъ,брат
братеничь,брат
братеньскыи,братский
братиискыи,братский
братитисѧ,брататься
братобоиство,братоубийство
братолюбьць,братолюбец
братоубииство,братоубийство
братоубииствьныи,братоубийственный
братоубиица,братоубийца
братоубииць,братоубийца
братръ,брат
братъ,брат
братьнь,братов
братьньць,брат
братьскы,братья
братьскыи,братский
братьство,братство
братьство,равенство
братьць,брат
брачитися,жениться
бритва,бритва
бритвити,брить
брити,брить
бричь,бритва
бродитисѧ,бродить
брусиѥ,брусья
бръвь,бревно
бръвьно,бревно
бръдъ,брод
бръснути,брить
брьвь,бревно
брьвьно,бревно
брьньныи,бренный
брѣговитыи,гористый
брѣза,береза
брѣзгати,брезговать
брѣзговати,брезговать
брѣздовати,обуздывать
брѧздати,бряцать
брѧцаниѥ,бряцание
бубънъ,бубен
бубьньныи,бубенный
буволица,буйволица
буволъ,буйвол
будити,будить
буиволовъ,буйвола
буино,буйно
буиныи,буйный
букарь,букварь
букъ,бук
булатьныи,булатный
бумага,бумага
бумажка,бумажка
бунтъ,бунт
буркгимистръ,бургомистр
бурыи,бурый
бурьныи,бурный
буря,буря
бусурманъ,мусульманин
бучаниѥ,ворчание
буѥсловиѥ,пустословие
буѥство,буйство
бъдрити,бодтить
бъдрость,бодрость
бъдрьливыи,бодрый
бъдрьно,бодро
бъдрьныи,бодрый
бъдѣниѥ,бдение
бъдѣти,бдеть
бъждрета,бодрость
бъждрии,бодрый
бързость,скорость
бъртьничии,бортника
бъчела,пчела
бъчелинъ,пчелиный
бъчельныи,пчелиный
бъчька,бочка
быкъ,бык
былина,былина
быстро,быстро
быстрость,быстрота
быстрыи,быстрый
быть,бытие
бычии,бычий
бышьныи,бышный
бьрьвьно,бревно
бѣгство,бегство
бѣгуль,бегеул
бѣжьство,бегство
бѣла,белка
бѣласыи,белесый
бѣлии,беличий
бѣлило,белило
бѣлильникъ,белильщик
бѣлити,белить
бѣлка,белка
бѣлотъкъ,белок
бѣлыи,белый
бѣльмо,бельмо
бѣлѣтисѧ,белеть
бѣня,баня
бѣситисѧ,беситься
бѣсовьныи,бесовской
бѣсовьскыи,бесовской
бѣство,бегство
бѣшеныи,бешенный
бѣшеньство,бешенство
бѣщи,беги
вадити,водить
вадъ,ад
важити,весить
важьность,важность
важьныи,важный
валити,катить
валка,война
валъ,вал
вариво,варево
варимантия,мантия
варити,варить
варка,барка
варъваринъ,варвар
варъваръ,варвар
варъварьскыи,варварский
варъка,барка
василискъ,василиск
ватага,ватага
ватаманъ,атаман
ведро,ведро
везти,везти
велегласовати,возглашать
веледушиѥ,великодушие
веледушьныи,великодушный
велелѣпиѥ,величие
велииство,величие
великогласьныи,громкоголосый
великодушиѥ,великодушие
великодьржавьныи,державный
великоименитыи,знаменитый
великолѣпиѥ,великолепие
великолѣпныи,великолепный
великолѣпотьныи,великолепный
великолѣпьство,великолепие
величавиѥ,величие
величавыи,величавый
величениѥ,увеличение
величиѥ,величие
величьствиѥ,величие
величьствоватисѧ,величаться
вельблудъ,верблюд
вельблужии,верблюжий
вельбудъ,верблюд
вельбудъ,верблюд
вельбужии,верблюжий
вельгласьно,громогласно
вельгласьныи,громогласный
вельдушьныи,великодушный
вельлѣпьныи,великолепный
вельможа,вельможа
вельмудрыи,мудрый
вельмудрьныи,мудрый
верблюдъ,верблюд
веребии,воробей
веревочка,веровочка
верегиня,берегиня
вередити,вредить
вережати,вредить
веремѧ,время
верескати,верещать
веретага,перетяга
веретено,веретено
веретеньныи,веретенный
верещати,верещать
верзати,вязать
верижьныи,веревочный
веселити,веселить
веселитисѧ,веселиться
веселовати,веселить
веселыи,веселый
весельныи,веселый
весельство,веселость
весло,весло
весна,весна
весныи,весенний
весньныи,весенний
ветъхость,ветхость
ветъшити,старить
вечеръ,вечер
вечерьнии,вечерний
вешьнии,весенний
вещьство,вещество
вещьствьныи,вещественный
видати,видеть
видимо,видимо
видимыи,видимый
видитель,руководитель
видовати,видывать
видовьныи,видимый
видомо,видимо
видьныи,видный
видѣтель,зритель
вижа,видя
вила,вилы
вила,вилка
вилица,вилка
вимьянии,внешний
виноватыи,виноватый
виноградьныи,виноградный
виночваньчия,виночерпий
виночьрпица,виночерпица
виночьрпчия,виночерпий
виночьрпьць,виночерпий
виньникъ,виновник
виньница,виночерпица
виньничьныи,виноградный
виньновати,винить
виньце,винцо
виръ,вихрь
високостьныи,несчастный
висѣти,висеть
витальница,гостиница
витати,обитать
вити,вить
витисѧ,виться
витовати,обитать
витѧзь,витязь
вихляниѥ,вихляние
вихъръ,вихрь
вишениѥ,вишни
вишьневыи,вишневый
вишьня,вишня
владати,владеть
владовати,владеть
владытчина,владение
владычьствиѥ,владычество
владьство,владычество
владѣниѥ,владение
влажьныи,влажный
власатыи,волосатый
властелинъ,властитель
властель,властелин
властельскыи,властительный
властельствовати,властвовать
властелянинъ,властелин
власти,владеть
властительскыи,властный
властити,властвовать
властовати,властвовать
властьныи,властный
властьствьно,властно
власяныи,волосяной
влащь,власть
влодь,волосы
вобчии,общий
вода,вода
водитель,вождь
вододьржа,водоем
водокрьстиѥ,водосвятие
водоносъ,ведро
водоносьць,водоносец
водоточа,протока
водочьрпъ,водонос
водьнитися,волноваться
водьныи,водный
возатаи,возница
возвукъ,звук
воздавати,воздать
воздрожати,задрожать
воздымати,поднимать
возити,возить
возлюбльникъ,возлюбленный
возомьздити,вознаградить
возырь,визирь
воилокъ,войлок
воина,война
воиничь,воинский
воиничьскыи,воинский
воинъ,воин
воиныи,военный
воиньныи,военный
воиньскыи,воинский
воиньствьньникъ,воинственный
воиска,война
воиство,воинство
воити,войти
воитко,войт
воитъ,войт
волгскыи,влажный
волениѥ,желание
волительныи,произвольный
воловьныи,воловий
волога,влага
володь,волосы
володѣниѥ,владение
волостелинъ,властелинский
волосъ,волос
волуи,воловий
волха,ольха
волхвовь,волхвы
волшебьныи,волшебный
вольство,воля
ворканиѥ,воркование
воробии,воробей
воробиинъ,воробьиный
воробиѥвъ,воробьиный
ворогъ,враг
ворожа,ворожба
ворожея,ворожея
ворожьда,вражда
ворона,ворона
воронъ,ворон
вороныи,черный
воротьникъ,воротник
воротьницкии,воротниковый
восклегтати,восклицать
воскобоиня,воскобойня
воскъ,воск
восмь,восемь
восмьнадцать,восемнадцать
вотнина,вотчина
вотчиньныи,вотчинный
воѥватисѧ,воевать
воѥводьскыи,воеводский
врагочьстивыи,нечестивый
врагъ,овраг
вражениѥ,ворожение
вражии,вражий
вражица,враждебница
вражьбьныи,враждебный
вражьдовати,враждовать
вражькъ,овражек
вражьскыи,вражеский
врана,ворона
вранъ,ворон
врата,ворота
вратарьница,привратница
вратитисѧ,возвратиться
вратьникъ,привратник
врахъ,ворох
врачеваниѥ,лечение
врачеватися,лечиться
врачевьныи,врачебный
врачевьскыи,врачебный
врачениѥ,лечение
врачьбьница,лечебница
вробии,воробей
врутка,рука
врѣдовьныи,вредный
врѣдьнѣ,вредно
врѣжати,вредить
врѣждати,вредить
врѣждьныи,вредный
врѣтено,веретено
вутъкъ,уток
въбивати,вбивать
въболѣе,более
въбрънити,вообружить
въвадитисѧ,повадиться
въвалитисѧ,ввалиться
въваяти,изваять
въведениѥ,введение
въвезти,ввезти
въводити,вводить
въвозити,ввозить
въвонѧтисѧ,завоняться
въвьртѣтися,ворваться
въвѣряти,вверять
въвѣрятися,доваряться
въгажати,угождать
въгажданиѥ,угождение
въгаждати,угождать
въглашати,возглашать
въглубльше,глубже
въглублѣи,глубже
въгодити,угодить
въгодьникъ,угодник
въгодьныи,угодный
въгодьнѣ,угодно
въгонити,вогнать
въгробьныи,погребенный
въгрузити,погрузить
въгрузитисѧ,погрузиться
въдааниѥ,даяние
въдавати,давать
въдаватисѧ,предаваться
въдарити,ударить
въдварѧтисѧ,водворяться
въдворитисѧ,водвориться
въдова,вдова
въдовая,вдова
въдовинъ,вдовий
въдовица,вдова
въдовичии,вдовий
въдовичьныи,вдовий
въдововати,вдовствовать
въдовующии,вдовствующий
въдовьць,вдовец
въдодъ,удод
въдразити,водрузить
въдружити,водрузить
въдрузити,водрузить
въдунути,вдунуть
въдъхновениѥ,вдохновение
въдъхновеныи,вдохновенный
въдъхнути,вдохнуть
въдъшениѥ,внушение
въдъшеныи,внушенный
въдыхати,вдыхать
въдышаниѥ,вдыхание
въдышати,вдыхать
въдьргывати,дергать
въжагати,зажигать
въжагати,поджигать
въжагатисѧ,зажигаться
въжгелати,пожелать
въжгелѣти,пожелать
въжделаниѥ,желание
въжделати,пожелать
въждѧгати,зажигать
въжелѣниѥ,желание
въжелѣти,желать
въжелѣти,вожделеть
въжещисѧ,зажечься
въжигати,зажигать
въжизати,зажигать
въжитисѧ,пожить
възавидѣти,позавидовать
възаконитися,узакониться
възамѣнити,заменить
възбльвати,выблевать
възбнутисѧ,проснуться
възболѣти,заболеть
възборонити,отговорить
възбороти,побороть
възбоятисѧ,бояться
възбрати,собирать
възбудити,возбудить
възбудитисѧ,возбудиться
възбѣситисѧ,взбеситься
възвадити,возмутить
възвалити,взвалить
възваръ,отвар
възвеличати,возвеличивать
възвеличатисѧ,возвеличиваться
възвеличити,возвеличить
възвеличитисѧ,возвеличиться
възвеселитисѧ,развеселиться
възвитисѧ,взвиться
възводити,возводить
възводъ,свод
възвонити,зазвонить
възворотити,возвратить
възворотитися,возвратиться
възвратити,возвратить
възвратитися,возвратиться
възвратъ,возврат
възвращатися,возвращаться
възвращатисѧ,возвращаться
възвращениѥ,возвращение
възвысити,возвысить
възвыситисѧ,возвыситься
възвыти,взвыть
възвышати,возвышать
възвышатисѧ,возвышаться
възвышити,возвысить
възвышитисѧ,возвыситься
възвьрнутисѧ,возвратиться
възвѣсити,взвесить
възвѧзати,завязать
възгаратисѧ,загораться
възглаголивыи,разговорчивый
възглашати,возглашать
възгнушатисѧ,гнушаться
възгнѣтити,возбудить
възгоняти,погонять
възгориѥ,взгорье
възгорѣтисѧ,загореться
възгражениѥ,сооружение
възгракати,каркать
възгрьмѣти,загреметь
възгърдитисѧ,возгордиться
възгърдѣти,возгордиться
въздааниѥ,воздаяние
въздажда,награда
въздатисѧ,воздаться
въздаяти,воздаять
въздвизатисѧ,подниматься
възднѧтисѧ,подняться
въздоровиѥ,здоровье
въздрадовати,обрадовать
въздражати,вздрогнуть
въздрыдати,рыдать
въздрьваниѥ,вырывание
въздуновениѥ,дуновение
въздунути,вдохнуть
въздути,раздуть
въздуховъ,воздушный
въздъхнути,вздохнуть
въздынутисѧ,подняться
въздыханиѥ,воздыхание
въздыханиѥ,дышание
въздыхати,вздыхать
въздьржальливыи,воздержанный
въздьржаниѥ,воздержание
въздьржаньно,воздержно
въздьржати,удержать
въздьржатисѧ,удержаться
въздьржатисѧ,воздержаться
въздьржьливыи,воздержанный
въздьржьникъ,воздержанный
въздьржьныи,воздержанный
възжелати,пожелать
възиграти,взыграть
възигратисѧ,разыграться
възисканиѥ,взыскание
възлагати,возлагать
възлежати,возлежать
възлетѣвати,возлетать
възлетѣти,взлететь
възлечи,возлечь
възливати,наливать
възлити,налить
възломити,сломать
възлысина,лысина
възлысыи,лысый
възлюбитисѧ,полюбиться
възлюбленыи,возлюбленный
възлѣзти,залезть
възлѣи,возле
възможьныи,возможный
възмужати,возмужать
възмутити,возмутить
възмутитисѧ,возмутиться
възмущати,возмущать
възмущатисѧ,возмущаться
възмьздиѥ,возмездие
възнаменатисѧ,вознаменоваться
възнегодовати,негодовать
възненавидѣти,возненавидеть
възнесениѥ,возвышение
възнесоватисѧ,вознестись
възнести,вознести
възнестисѧ,вознестись
възникати,возникать
възникнути,возникнуть
възносити,возносить
възорати,вспахать
възостритисѧ,возбудиться
възочьство,родство
възощрити,ссорить
възрастати,вырастать
възрасть,возраст
възъѣхати,заехать
възыватисѧ,называться
възѧти,взять
въити,войти
въкладка,вкладка
въкладъ,вклад
въковати,вковать
въкопати,вкопать
въкопатисѧ,вкопаться
въкоренити,укоренить
въкоренитисѧ,укорениться
въкоренятисѧ,укореняться
въкрастисѧ,прокрасться
въкупитисѧ,совокупиться
въкусьныи,вкусный
вълааниѥ,волнение
вълазити,входить
вългъкыи,влажный
въливати,вливать
въливатисѧ,вливаться
вълити,влить
вълияниѥ,вливание
вълияти,вливать
вълкъ,волк
вълна,волна
вълнениѥ,волнение
вълновати,волновать
вълноватисѧ,волноваться
въложити,вложить
въложитися,вложиться
вълхвовати,колдовать
вълховати,колдовать
вълчии,волчий
вълчица,волчица
вълшьбьныи,волшебный
вълюбити,влюбить
вълѣпити,влепить
вълѣяти,влить
въмывальница,умывальник
въмѣстити,вместить
вънегда,когда
вънезаапь,внезапно
вънезаапьныи,внезапный
вънести,нанести
въникнути,вникнуть
въниманиѥ,внимание
въниматель,слушатель
вънимательныи,внимательный
въниматисѧ,вмешиваться
вънити,войти
въножити,вонзить
вънозити,вонзить
въносити,вносить
въносъ,внос
въношивати,вносить
вънука,внучка
вънутрь,внутрь
вънутрь,внутрь
вънутрьнии,внутренний
вънутрьюду,внутри
вънушати,внушать
вънушити,внушить
вънъзити,вонзить
въньзнути,вонзить
въньзти,вонзить
въоружатисѧ,вооружаться
въоружениѥ,вооружение
въоружити,вооружить
въоружитисѧ,вооружиться
въоружитисѧ,вооружиться
въочесениѥ,прозрение
въпадати,впадать
въпечалитисѧ,опечалиться
въписаниѥ,описание
въписывати,вписывать
въплътити,воплотить
въплътитисѧ,воплотиться
въплъщениѥ,воплощение
въпрашати,спрашивать
въпрашевати,спрашивать
въпросъ,вопрос
въпрошениѥ,вопрос
въпрѣже,прежде
въпрѣтити,запретить
въпрѧгати,впрягать
въпрѧмо,прямо
въпустити,впустить
въпълчениѥ,ополчение
въпълчитисѧ,ополчиться
въпьсати,вписать
въпьсатисѧ,вписаться
въразумити,вразумить
въратитисѧ,вооружиться
върокъ,урок
въротитисѧ,вернуться
върутитисѧ,обрушиться
върядьно,вредно
въселениѥ,вселение
въселеныи,населенный
въселеньная,вселенная
въселеньскыи,вселенский
въселити,вселить
въселѧтисѧ,поселяться
въсияниѥ,сияние
въсияти,восиять
въскакати,вскочить
въсквозѣ,сквозь
въскладывати,накладывать
въскланяти,наклонять
въсклеветати,оклеветать
въскликнути,воскликнуть
въсклицати,восклицать
въсклопотати,хлопать
въскоповати,раскапывать
въскопыснути,вскочить
въскорити,ускорить
въскочити,вскочить
въскраинии,крайний
въскричати,закричать
въскропити,окропить
въскрьсениѥ,воскрешение
въскрьсновениѥ,воскрешение
въскрьснути,воскреснуть
въскрѣсити,воскресить
въскрѣсьныи,воскрешеный
въскрѣшати,воскрешать
въскрѣшениѥ,воскрешение
въскърбити,оскорбить
въскърбѣти,скорбить
въскърмити,вскормить
въскърмлениѥ,вскармливание
въскынути,вскинуть
въскыпати,вскипать
въскыпѣниѥ,вскипание
въскыпѣти,вскипеть
въскысати,скисать
въскысѣниѥ,скисание
въславити,восславить
въславитисѧ,восславиться
въславляти,восславлять
въсланяти,прислонять
въслѣдьствовати,последовать
въслѣжданиѥ,подражание
въсмѣятисѧ,засмеяться
въсмѣятисѧ,насмеяться
въсобленыи,особенный
въсобьныи,особенный
въспалити,воспалить
въспаръ,пар
въспитати,воспитать
въсплакати,заплакать
въсплакатисѧ,заплакать
въспланутисѧ,воспламениться
въсплескати,всплеснуть
въспоминаниѥ,воспоминание
въспоминати,вспоминать
въспоминовати,вспоминать
въспоминьць,напоминатель
въспомѧнути,упомянуть
въспориѥ,спор
въспоръ,подпора
въспослушати,послушать
въспосълати,ниспослать
въспрашати,спрашивать
въсприимовати,воспринимать
въспросъ,вопрос
въспротивитисѧ,воспротивиться
въспрошати,спрашивать
въспрѣтити,запретить
въспрѧнути,воспрянуть
въспытаниѥ,испытание
въспѣвати,воспевать
въспѣниѥ,пение
въспѣти,воспеть
въставлѧти,ставить
въстворитисѧ,совершиться
въстенати,застонать
въстирати,растирать
въстлапитель,укротитель
въстогнати,стонать
въстодааниѥ,воздаяние
въстокъ,восток
въстонати,застонать
въсточьныи,восточный
въстрепетати,трепетать
въстрепехнутисѧ,встрепенуться
въстрокотати,стрекотать
въструбити,затрубить
въструбити,затрубить
въстрѣбити,вскормить
въстрѣтениѥ,встреча
въстрѧстисѧ,затрястись
въступати,вступать
въступати,выступать
въстъргывати,исторгать
въстьргывати,выдергивать
въсудити,осудить
въсумьнитисѧ,усомниться
въсучити,засучить
въсуѥ,всуе
